taz,hotelmotel,resort,casino,campground,percentHouseSeasonal,rec_attractiveness
229,0,0,0,0,0.870940735,0
230,0,0,0,0,0.8709407346340571,0
231,19,0,0,0,0.8698844748670225,0
228,0,0,0,175,0.8790431409843168,1731
225,22,0,0,40,0.909832285,1600
227,0,0,0,0,0.9020539750190546,0
226,0,0,0,0,0.909832285115304,17
224,0,0,0,0,0.909832285115304,0
223,0,0,0,0,0.909832285115304,0
222,0,0,0,0,0.909832285115304,1345
221,0,0,0,0,0.909832285115304,0
220,0,0,0,0,0.9098322851153038,0
219,0,0,0,0,0.909832285115304,0
218,0,0,0,165,0.909832285115304,1542
217,0,0,0,0,0.909832285115304,0
216,0,0,0,116,0.9098322851153038,2971
109,1439,82,0,0,0.8885997142273933,924
110,732,559,0,0,0.9217995628543312,0
111,319,364,0,0,0.8885997142273933,0
215,0,0,0,0,0.909832285115304,2285
116,0,0,0,0,0.9815592903828196,0
113,443,0,0,0,0.8506847183317771,0
112,259,0,0,0,0.5162544147168995,0
118,200,50,0,0,0.891824809,1633
115,160,0,0,0,0.9815592903828196,0
214,0,0,0,0,0.9098322851153038,0
124,193,0,0,0,0.8549573545171765,0
119,65,261,0,0,0.925426607,414
212,0,0,0,0,0.909832285115304,2428
117,0,0,0,0,0.9436724599640706,0
120,0,0,0,178,0.934885123905384,2809
114,0,0,0,0,0.7561272760667966,0
137,32,0,0,0,0.7732270799945744,2652
121,0,0,0,0,0.9349999744764146,0
122,0,0,0,0,0.8918248088762599,994
123,0,0,0,0,0.8288002788399382,0
204,0,0,0,330,0.978990702,3496
138,15,0,0,0,0.7740511939943363,0
125,21,0,0,0,0.7445687058707352,0
126,0,0,0,0,0.8121953914030591,0
144,0,0,0,0,0.9656171184067754,444
203,71,0,0,0,0.978990702,4491
153,0,0,0,0,0.9653587838554012,0
139,26,0,0,0,0.8343096034095423,0
127,0,0,0,0,0.9368581461604718,0
145,0,0,0,0,0.8984234977323957,0
140,0,0,0,0,0.9717898959337832,0
135,0,0,0,0,0.7445687058707352,0
205,0,0,0,0,0.932778825,0
206,0,0,0,196,0.978990702,0
213,0,0,0,25,0.909832285115304,2262
207,0,0,0,0,0.9195387295855872,0
141,76,0,0,0,0.9717107465684632,0
163,0,0,0,0,0.5743303792486986,0
130,0,0,0,0,0.8918248088762599,378
128,0,0,0,0,0.9368581461604718,0
129,0,0,0,0,0.9368581461604718,0
134,0,0,0,0,0.8215072960243289,0
131,0,0,0,0,0.9368581461604718,0
148,143,0,0,0,0.9872155177164268,0
142,56,0,0,0,0.9260800478956592,0
152,0,0,0,0,0.9606282552289842,0
136,0,0,0,0,0.7919668227731521,0
146,31,0,0,0,0.9576124532462168,0
133,0,0,0,0,0.8918248088762599,0
151,0,0,0,0,0.9360455410740632,0
147,0,0,0,0,0.8330626975204568,0
132,0,0,0,0,0.9368581461604718,0
143,23,0,0,0,0.5700514403368484,0
149,39,0,0,0,0.7625888725776991,0
154,27,0,0,0,0.9825194093214424,0
180,0,0,0,400,0.3659591651821693,0
161,23,0,0,0,0.137526851592416,0
169,0,0,0,0,0.7276619453711038,0
167,0,0,0,0,0.7250138921965549,0
150,38,0,0,0,0.6306975872583618,0
162,0,0,0,0,0.137526851592416,0
156,0,0,0,0,0.9601485984464704,0
170,0,0,0,0,0.7241614221342078,0
166,0,0,0,0,0.5269173253578295,0
157,0,0,0,0,0.9478583197252796,0
158,0,0,0,0,0.5847009109209275,0
208,0,0,0,0,0.9567026813696166,239
155,0,0,0,0,0.8519080406115066,0
168,0,0,0,0,0.7250138921965549,0
160,91,0,0,0,0.137526851592416,0
159,24,0,0,0,0.6723815389948978,0
211,0,0,0,0,0.9448605741695896,185
202,0,0,0,0,0.8519080406115066,0
201,0,0,0,0,0.8519080406115066,1346
165,0,0,0,0,0.5269173253578295,0
209,0,0,0,0,0.978990702,0
181,0,0,0,0,0.137526851592416,0
171,0,0,0,0,0.7250138921965549,0
182,0,0,0,0,0.7665009391227487,0
183,0,0,0,0,0.7665009391227486,2006
164,0,0,0,0,0.7650725500740336,72
200,0,0,0,0,0.8001530005822567,1370
210,0,0,0,0,0.978990702,135
179,0,0,0,0,0.6849718125074362,0
178,0,0,0,0,0.6599905165688457,0
177,0,0,0,0,0.822848077,0
172,0,0,0,0,0.8272,0
176,0,0,0,0,0.6635447318725348,5783
199,0,0,0,0,0.8638391067653516,696
174,0,0,0,0,0.8272,163
198,0,0,0,0,0.7853023498014711,4852
195,0,0,0,0,0.780811508,0
175,0,0,0,0,0.7874008174358057,0
197,0,0,0,0,0.7853023498014711,0
196,0,0,0,0,0.78530235,138
232,0,0,0,0,0.978990702,3716
184,0,0,0,0,0.8768148339882815,0
185,0,0,0,0,0.8411541720592043,0
186,0,0,0,0,0.8272,0
194,0,0,0,0,0.6855828220858895,0
193,0,0,0,0,0.9122950774895252,0
187,0,0,0,15,0.8272,1163
173,0,0,0,0,0.8272,0
191,0,0,0,0,0.9122950774895252,0
192,0,0,0,0,0.9122950774895252,4253
188,0,0,0,0,0.8272,0
190,0,0,0,0,0.912295077,0
189,0,0,0,0,0.9122950774895252,755
343,0,0,0,0,0.7469525766135936,0
344,0,0,0,0,0.7469525766135936,7305
340,6,0,0,0,0.7469525766135936,0
342,0,0,0,0,0.7469525766135936,0
341,0,0,0,0,0.7469525766135936,0
339,0,0,0,0,0.0,0
338,0,0,0,0,0.7469525766135936,0
337,0,0,0,0,0.7469525766135936,0
333,0,0,0,0,0.7469525766135935,6234
334,0,0,0,0,0.7469525766135936,0
332,0,0,0,0,0.7469525766135936,6261
328,0,0,0,0,0.7469525766135936,0
329,0,0,0,0,0.7469525766135936,6892
330,0,0,0,0,0.7469525766135936,0
327,0,0,0,0,0.7469525766135936,0
325,5,0,0,0,0.600433606,0
326,0,0,0,140,0.595230729,0
324,32,0,0,0,0.595230729,7645
316,0,0,0,0,0.4247929303815008,68
320,0,0,0,0,0.5979067695459143,0
323,0,0,0,0,0.6867620253476058,0
319,110,0,0,0,0.6895611475505233,433
322,0,0,0,0,0.6895611475505233,0
314,0,0,0,0,0.5181041003715333,0
315,0,0,0,0,0.410124344900739,0
317,0,0,0,0,0.1047434654507124,0
318,0,0,0,52,0.6895611475505233,845
321,0,0,0,0,0.6895611475505233,0
313,0,0,0,0,0.3752232277223749,0
311,50,0,0,0,0.4207555790336987,0
310,669,0,0,0,0.4247929303815008,0
301,0,154,0,0,0.0,0
306,0,0,0,0,0.0149904597293592,544
305,0,0,0,0,0.4066570197051898,329
