a,dtaz,shortWalk
1,1,0
2,2,0
3,3,0
4,4,0
5,5,0
6,6,0
7,7,0
8,10,0
9,20,0
10,30,0
11,40,0
12,50,0
13,60,0
14,70,0
15,109,1
16,109,2
17,110,1
18,110,2
19,111,1
20,111,2
21,112,1
22,112,2
23,113,1
24,113,2
25,114,0
26,114,1
27,114,2
28,115,0
29,115,1
30,115,2
31,116,0
32,116,1
33,116,2
34,117,0
35,118,1
36,119,1
37,120,1
38,121,1
39,121,2
40,122,1
41,123,1
42,123,2
43,124,1
44,125,1
45,125,2
46,126,0
47,126,1
48,126,2
49,127,1
50,128,1
51,129,1
52,130,1
53,130,2
54,131,0
55,131,1
56,131,2
57,132,0
58,132,2
59,133,0
60,133,2
61,134,0
62,134,2
63,135,0
64,135,2
65,136,0
66,137,0
67,137,1
68,137,2
69,138,0
70,138,1
71,138,2
72,139,0
73,139,1
74,139,2
75,140,0
76,140,1
77,140,2
78,141,0
79,141,1
80,141,2
81,142,0
82,142,1
83,142,2
84,143,0
85,143,1
86,143,2
87,144,0
88,145,0
89,146,0
90,147,0
91,147,1
92,147,2
93,148,0
94,148,1
95,148,2
96,149,0
97,149,1
98,149,2
99,150,1
100,151,0
101,152,0
102,152,2
103,153,0
104,154,0
105,154,2
106,155,0
107,155,2
108,156,0
109,156,1
110,156,2
111,157,1
112,157,2
113,158,0
114,158,1
115,158,2
116,159,0
117,159,1
118,159,2
119,160,0
120,160,1
121,160,2
122,161,1
123,162,1
124,163,0
125,164,0
126,165,0
127,166,0
128,167,0
129,168,0
130,169,0
131,170,0
132,171,0
133,172,0
134,173,0
135,174,0
136,175,0
137,176,0
138,177,0
139,178,0
140,179,0
141,180,0
142,180,1
143,180,2
144,181,0
145,181,2
146,182,0
147,183,0
148,184,0
149,185,0
150,186,0
151,187,0
152,188,0
153,189,0
154,190,0
155,191,0
156,192,0
157,193,0
158,194,0
159,195,0
160,196,0
161,197,0
162,198,0
163,199,0
164,200,0
165,201,0
166,202,0
167,203,0
168,204,0
169,205,0
170,206,0
171,207,0
172,208,0
173,209,0
174,210,0
175,211,0
176,212,0
177,213,0
178,214,0
179,215,0
180,216,0
181,217,0
182,218,0
183,219,0
184,220,0
185,221,0
186,222,0
187,223,0
188,224,0
189,225,0
190,226,0
191,227,0
192,228,0
193,228,1
194,228,2
195,229,0
196,229,1
197,229,2
198,230,0
199,230,1
200,230,2
201,231,1
202,232,0
203,233,1
204,234,0
205,234,1
206,234,2
207,235,1
208,236,0
209,236,1
210,236,2
211,237,1
212,237,2
213,238,1
214,238,2
215,239,1
216,240,0
217,240,1
218,240,2
219,241,0
220,241,1
221,241,2
222,242,0
223,242,1
224,242,2
225,243,0
226,243,1
227,243,2
228,244,0
229,244,1
230,244,2
231,245,0
232,245,2
233,246,0
234,247,0
235,248,0
236,248,2
237,249,0
238,249,1
239,249,2
240,250,1
241,250,2
242,251,0
243,251,1
244,251,2
245,252,0
246,252,2
247,253,1
248,253,2
249,254,1
250,255,1
251,256,1
252,257,1
253,258,1
254,258,2
255,259,1
256,260,0
257,260,1
258,260,2
259,261,1
260,262,1
261,263,0
262,264,1
263,265,1
264,265,2
265,266,1
266,266,2
267,267,0
268,267,1
269,267,2
270,268,0
271,268,1
272,268,2
273,269,0
274,269,1
275,269,2
276,270,0
277,270,1
278,270,2
279,271,0
280,271,1
281,271,2
282,272,0
283,272,1
284,272,2
285,273,0
286,273,1
287,273,2
288,274,0
289,274,1
290,274,2
291,275,0
292,275,1
293,275,2
294,276,1
295,276,2
296,277,1
297,278,0
298,278,1
299,278,2
300,279,0
301,279,1
302,279,2
303,280,1
304,280,2
305,281,0
306,281,1
307,281,2
308,282,1
309,282,2
310,283,1
311,283,2
312,284,0
313,284,1
314,284,2
315,285,0
316,285,2
317,286,0
318,286,1
319,286,2
320,287,1
321,287,2
322,288,0
323,288,1
324,288,2
325,289,1
326,290,0
327,290,1
328,290,2
329,291,1
330,291,2
331,292,0
332,292,1
333,292,2
334,300,0
335,300,1
336,300,2
337,301,0
338,301,1
339,301,2
340,302,1
341,302,2
342,303,1
343,303,2
344,304,1
345,304,2
346,305,1
347,305,2
348,306,1
349,306,2
350,307,0
351,307,1
352,307,2
353,308,1
354,308,2
355,309,1
356,310,1
357,311,1
358,311,2
359,312,1
360,312,2
361,313,0
362,313,1
363,313,2
364,314,0
365,314,2
366,315,0
367,315,1
368,315,2
369,316,0
370,316,1
371,316,2
372,317,0
373,317,1
374,317,2
375,318,0
376,319,0
377,320,0
378,321,0
379,321,1
380,321,2
381,322,0
382,323,0
383,324,0
384,325,0
385,326,0
386,327,0
387,328,0
388,329,0
389,330,0
390,331,0
391,332,0
392,333,0
393,334,0
394,335,0
395,336,0
396,337,0
397,338,0
398,339,0
399,340,0
400,341,0
401,342,0
402,343,0
403,344,0
404,345,0
405,346,0
406,347,0
407,348,0
408,349,0
409,350,0
410,351,0
411,352,0
412,353,0
413,354,0
414,355,0
415,355,1
416,355,2
417,356,1
418,356,2
419,357,1
420,358,1
421,359,1
422,360,1
423,360,2
424,361,1
425,361,2
426,362,1
427,362,2
428,363,1
429,363,2
430,364,1
431,364,2
432,365,1
433,366,1
434,366,2
435,367,0
436,367,1
437,367,2
438,368,0
439,368,2
440,369,0
441,369,2
442,370,0
443,370,1
444,370,2
445,371,0
446,371,1
447,371,2
448,372,1
449,372,2
450,373,0
451,373,1
452,373,2
453,374,0
454,375,0
455,375,2
456,376,0
457,376,1
458,376,2
459,377,1
460,377,2
461,378,1
462,379,1
463,380,1
464,381,1
465,382,0
466,382,1
467,382,2
468,383,0
469,383,1
470,383,2
471,384,0
472,384,1
473,384,2
474,385,0
475,386,0
476,387,0
477,387,2
478,388,1
479,388,2
480,389,1
481,389,2
482,390,1
483,390,2
484,391,0
485,391,1
486,391,2
487,392,0
488,392,1
489,392,2
490,393,1
491,393,2
492,394,1
493,395,1
494,396,1
495,396,2
496,397,1
497,397,2
