State,County,Tract,HHSize,HHWorkers,HHIncome,nHHs
6,17,30101,1,0,high,97
6,17,30101,1,1,high,60
6,17,30101,2,0,high,105
6,17,30101,2,1,high,82
6,17,30101,2,2,high,67
6,17,30101,3,0,high,10
6,17,30101,3,1,high,27
6,17,30101,3,2,high,33
6,17,30101,3,3+,high,8
6,17,30101,4+,0,high,6
6,17,30101,4+,1,high,32
6,17,30101,4+,2,high,46
6,17,30101,4+,3+,high,16
6,17,30101,1,0,low,148
6,17,30101,1,1,low,92
6,17,30101,2,0,low,161
6,17,30101,2,1,low,126
6,17,30101,2,2,low,103
6,17,30101,3,0,low,15
6,17,30101,3,1,low,42
6,17,30101,3,2,low,51
6,17,30101,3,3+,low,12
6,17,30101,4+,0,low,9
6,17,30101,4+,1,low,48
6,17,30101,4+,2,low,71
6,17,30101,4+,3+,low,25
6,17,30101,1,0,med,82
6,17,30101,1,1,med,51
6,17,30101,2,0,med,89
6,17,30101,2,1,med,69
6,17,30101,2,2,med,57
6,17,30101,3,0,med,8
6,17,30101,3,1,med,23
6,17,30101,3,2,med,28
6,17,30101,3,3+,med,7
6,17,30101,4+,0,med,5
6,17,30101,4+,1,med,27
6,17,30101,4+,2,med,39
6,17,30101,4+,3+,med,14
6,17,30102,1,0,high,98
6,17,30102,1,1,high,61
6,17,30102,2,0,high,107
6,17,30102,2,1,high,83
6,17,30102,2,2,high,68
6,17,30102,3,0,high,10
6,17,30102,3,1,high,28
6,17,30102,3,2,high,34
6,17,30102,3,3+,high,8
6,17,30102,4+,0,high,6
6,17,30102,4+,1,high,32
6,17,30102,4+,2,high,47
6,17,30102,4+,3+,high,17
6,17,30102,1,0,low,40
6,17,30102,1,1,low,25
6,17,30102,2,0,low,43
6,17,30102,2,1,low,34
6,17,30102,2,2,low,28
6,17,30102,3,0,low,4
6,17,30102,3,1,low,11
6,17,30102,3,2,low,14
6,17,30102,3,3+,low,3
6,17,30102,4+,0,low,2
6,17,30102,4+,1,low,13
6,17,30102,4+,2,low,19
6,17,30102,4+,3+,low,7
6,17,30102,1,0,med,58
6,17,30102,1,1,med,36
6,17,30102,2,0,med,63
6,17,30102,2,1,med,49
6,17,30102,2,2,med,41
6,17,30102,3,0,med,6
6,17,30102,3,1,med,17
6,17,30102,3,2,med,20
6,17,30102,3,3+,med,5
6,17,30102,4+,0,med,4
6,17,30102,4+,1,med,19
6,17,30102,4+,2,med,28
6,17,30102,4+,3+,med,10
6,17,30200,1,0,high,14
6,17,30200,1,1,high,9
6,17,30200,2,0,high,15
6,17,30200,2,1,high,12
6,17,30200,2,2,high,10
6,17,30200,3,0,high,1
6,17,30200,3,1,high,4
6,17,30200,3,2,high,5
6,17,30200,3,3+,high,1
6,17,30200,4+,0,high,1
6,17,30200,4+,1,high,5
6,17,30200,4+,2,high,7
6,17,30200,4+,3+,high,2
6,17,30200,1,0,low,16
6,17,30200,1,1,low,10
6,17,30200,2,0,low,18
6,17,30200,2,1,low,14
6,17,30200,2,2,low,11
6,17,30200,3,0,low,2
6,17,30200,3,1,low,5
6,17,30200,3,2,low,6
6,17,30200,3,3+,low,1
6,17,30200,4+,0,low,1
6,17,30200,4+,1,low,5
6,17,30200,4+,2,low,8
6,17,30200,4+,3+,low,3
6,17,30200,1,0,med,11
6,17,30200,1,1,med,7
6,17,30200,2,0,med,12
6,17,30200,2,1,med,9
6,17,30200,2,2,med,8
6,17,30200,3,0,med,1
6,17,30200,3,1,med,3
6,17,30200,3,2,med,4
6,17,30200,3,3+,med,1
6,17,30200,4+,0,med,1
6,17,30200,4+,1,med,4
6,17,30200,4+,2,med,5
6,17,30200,4+,3+,med,2
6,17,30300,1,0,high,7
6,17,30300,1,1,high,4
6,17,30300,2,0,high,8
6,17,30300,2,1,high,6
6,17,30300,2,2,high,5
6,17,30300,3,0,high,1
6,17,30300,3,1,high,2
6,17,30300,3,2,high,2
6,17,30300,3,3+,high,1
6,17,30300,4+,0,high,0
6,17,30300,4+,1,high,2
6,17,30300,4+,2,high,3
6,17,30300,4+,3+,high,1
6,17,30300,1,0,low,16
6,17,30300,1,1,low,10
6,17,30300,2,0,low,18
6,17,30300,2,1,low,14
6,17,30300,2,2,low,11
6,17,30300,3,0,low,2
6,17,30300,3,1,low,5
6,17,30300,3,2,low,6
6,17,30300,3,3+,low,1
6,17,30300,4+,0,low,1
6,17,30300,4+,1,low,5
6,17,30300,4+,2,low,8
6,17,30300,4+,3+,low,3
6,17,30300,1,0,med,9
6,17,30300,1,1,med,6
6,17,30300,2,0,med,10
6,17,30300,2,1,med,8
6,17,30300,2,2,med,6
6,17,30300,3,0,med,1
6,17,30300,3,1,med,3
6,17,30300,3,2,med,3
6,17,30300,3,3+,med,1
6,17,30300,4+,0,med,1
6,17,30300,4+,1,med,3
6,17,30300,4+,2,med,4
6,17,30300,4+,3+,med,2
6,17,30401,1,0,high,20
6,17,30401,1,1,high,12
6,17,30401,2,0,high,21
6,17,30401,2,1,high,17
6,17,30401,2,2,high,14
6,17,30401,3,0,high,2
6,17,30401,3,1,high,6
6,17,30401,3,2,high,7
6,17,30401,3,3+,high,2
6,17,30401,4+,0,high,1
