SERIALNO,PUMA5,STATE,PERSONS,HINC,HHID,FIRSTPERSONID
3000000022,300,6,2,53098.55,0,0
3000000145,6103,6,4,42478.84,1,2
3000000173,6103,6,2,140180.172,2,6
3000000234,1700,6,1,40779.6864,3,8
3000000360,300,6,3,162375.3659,4,9
3000000655,300,6,3,21982.7997,5,12
3000000724,300,6,1,65842.202,6,15
3000000837,6103,6,4,212394.2,7,16
3000002094,1700,6,1,24319.1359,8,20
3000002163,6103,6,4,63718.26,9,21
3000002398,300,6,1,23788.1504,10,25
3000003427,6103,6,2,62231.5006,11,26
3000003857,6103,6,2,78405.31893,12,28
3000004453,300,6,4,54160.521,13,30
3000005774,1700,6,3,141246.390884,14,34
3000007266,300,6,2,34195.4662,15,37
3000010403,6103,6,1,38230.956,16,39
3000010543,6103,6,4,300548.41271,17,40
3000010788,1700,6,2,89205.564,18,44
3000012515,1700,6,2,123613.4244,19,46
3000014116,1700,6,5,13805.623,20,48
3000014420,6103,6,2,26549.275,21,53
3000014569,1700,6,2,21260.65942,22,55
3000018595,300,6,2,22619.9823,23,57
3000018665,6103,6,2,265492.75,24,59
3000019935,1700,6,4,78076.10792,25,61
3000020152,6103,6,3,14867.594,26,65
3000020828,1700,6,4,132533.9808,27,68
3000021049,1700,6,1,59045.5876,28,72
3000022565,1700,6,1,27080.2605,29,73
3000023454,6103,6,3,62550.0919,30,74
3000025682,6103,6,4,450275.704,31,77
3000026410,300,6,2,139118.201,32,81
3000027134,1700,6,2,135932.288,33,83
3000027437,300,6,1,0,34,85
3000027755,1700,6,3,117878.781,35,86
3000028221,300,6,2,76461.912,36,89
3000028247,1700,6,1,25487.304,37,91
3000028443,6103,6,2,81240.7815,38,92
3000028628,1700,6,1,42478.84,39,94
3000028997,6103,6,2,90798.5205,40,95
3000030128,6103,6,4,29735.188,41,97
3000031434,1700,6,1,15706.55109,42,101
3000031977,6103,6,2,95577.39,43,102
3000032354,1700,6,2,138056.23,44,104
3000035618,6103,6,2,36797.29515,45,106
3000036102,300,6,2,45558.5559,46,108
3000036389,1700,6,2,276749.6426,47,110
3000037021,6103,6,4,49700.2428,48,112
3000037037,300,6,2,51303.81901,49,116
3000037238,6103,6,2,502312.283,50,118
3000037422,300,6,1,25487.304,51,120
3000037577,1700,6,3,81771.767,52,121
3000038996,1700,6,6,37912.3647,53,124
3000039599,300,6,1,24106.7417,54,130
3000040104,6103,6,3,150799.882,55,131
3000040740,300,6,1,48234.72282,56,134
3000042095,300,6,4,35045.043,57,135
3000043391,1700,6,1,86444.4394,58,139
3000045742,300,6,1,116604.4158,59,140
3000046127,6103,6,4,39292.927,60,141
3000046237,1700,6,3,97709.827768,61,145
3000047485,300,6,1,10619.71,62,148
3000047661,1700,6,3,36744.1966,63,149
3000048298,6103,6,2,66691.7788,64,152
3000048587,300,6,2,84320.4974,65,154
3000049379,6103,6,2,100462.4566,66,156
3000050532,300,6,2,78798.2482,67,158
3000051780,1700,6,3,58408.405,68,160
3000051849,6103,6,2,183720.983,69,163
3000052582,300,6,4,50974.608,70,165
3000054365,300,6,1,59151.7847,71,169
3000055105,300,6,2,28460.8228,72,170
3000055242,6103,6,5,44071.7965,73,172
3000056152,1700,6,2,183402.3917,74,177
3000056281,300,6,1,29310.3996,75,179
3000056358,1700,6,1,22301.391,76,180
3000056733,1700,6,2,33452.0865,77,181
3000056768,300,6,1,25487.304,78,183
3000057142,1700,6,1,46726.724,79,184
3000057208,300,6,1,29321.01931,80,185
3000057363,300,6,2,483196.805,81,186
3000057437,6103,6,5,287687.9439,82,188
3000057496,300,6,2,156322.1312,83,193
3000058134,300,6,3,86550.6365,84,195
3000058920,300,6,3,54585.3094,85,198
3000059111,300,6,1,19965.0548,86,201
3000059371,300,6,1,127436.52,87,202
3000060000,6103,6,1,16354.3534,88,203
3000060928,300,6,2,95364.9958,89,204
3000061208,300,6,2,63293.4716,90,206
3000061888,300,6,2,60850.9383,91,208
3000062094,300,6,1,26761.6692,92,210
3000062316,300,6,1,26974.0634,93,211
3000063660,1700,6,3,38230.956,94,212
3000063848,1700,6,2,69665.2976,95,215
3000064152,300,6,1,54372.9152,96,217
3000066675,300,6,4,236331.02634,97,218
3000069054,300,6,1,46726.724,98,222
3000069226,1700,6,1,22088.9968,99,223
3000070430,1700,6,2,59682.7702,100,224
3000070567,1700,6,2,404133.06405,101,226
3000070791,1700,6,3,42478.84,102,228
3000071357,6103,6,6,51611.7906,103,231
3000071890,6103,6,1,24850.1214,104,237
3000072212,1700,6,2,50326.80569,105,238
3000072356,300,6,2,73275.999,106,240
3000073283,1700,6,7,205417.05053,107,242
3000073391,300,6,3,126183.39422,108,249
3000073874,300,6,5,26867.8663,109,252
3000073965,6103,6,2,63665.16145,110,257
3000075011,1700,6,2,130197.6446,111,259
3000076308,1700,6,2,72214.028,112,261
3000078095,300,6,1,74337.97,113,263
3000081259,6103,6,1,72214.028,114,264
3000082165,6103,6,2,115223.8535,115,265
3000083270,300,6,2,53417.1413,116,267
3000083705,300,6,4,53098.55,117,269
3000084424,1700,6,1,43434.6139,118,273
3000085036,1700,6,2,140073.9749,119,274
3000086676,1700,6,2,76568.1091,120,276
3000087369,6103,6,2,276112.46,121,278
3000088488,6103,6,4,116816.81,122,280
3000089139,1700,6,2,35788.4227,123,284
3000090672,1700,6,4,218978.4202,124,286
3000091265,1700,6,5,78373.4598,125,290
3000091396,1700,6,1,447089.791,126,295
3000093555,300,6,1,35894.6198,127,296
3000094213,300,6,2,92391.477,128,297
3000094434,300,6,2,46832.9211,129,299
3000095014,300,6,2,130622.433,130,301
3000095268,1700,6,3,116816.81,131,303
3000095383,1700,6,2,212394.2,132,306
3000095690,6103,6,2,388203.49905,133,308
3000095926,1700,6,1,15079.9882,134,310
3000097573,6103,6,2,58408.405,135,311
3000098167,6103,6,3,142304.114,136,313
3000098370,1700,6,2,54479.1123,137,316
3000098508,1700,6,2,123401.0302,138,318
3000098899,300,6,2,38730.08237,139,320
3000099944,1700,6,2,64780.231,140,322
3000100923,6103,6,1,61594.318,141,324
3000101227,1700,6,3,203048.8552,142,325
3000104044,1700,6,3,119153.1462,143,328
3000107235,300,6,1,39292.927,144,331
3000107834,300,6,6,78585.854,145,332
3000109465,300,6,2,322414.3956,146,338
3000110735,1700,6,1,74412.30797,147,340
3000111303,300,6,1,32602.5097,148,341
3000111735,300,6,2,108639.6333,149,342
3000112678,1700,6,4,71576.8454,150,344
3000114244,300,6,2,41438.10842,151,348
3000114546,1700,6,2,371.68985,152,350
3000116084,1700,6,5,90267.535,153,352
3000116664,1700,6,2,80072.6134,154,357
3000116716,300,6,2,38230.956,155,359
3000117090,300,6,2,30690.9619,156,361
3000117323,300,6,2,96639.361,157,363
3000117404,6103,6,3,9557.739,158,365
3000117440,300,6,1,40036.3067,159,368
3000118245,300,6,2,40036.3067,160,369
3000118962,1700,6,1,30606.00422,161,371
3000121663,300,6,2,42903.6284,162,372
3000122166,6103,6,5,157171.708,163,374
3000123623,1700,6,2,46301.9356,164,379
3000124608,300,6,2,53077.31058,165,381
3000125024,300,6,2,61381.9238,166,383
3000125033,300,6,1,8495.768,167,385
3000127515,1700,6,2,100887.245,168,386
3000128344,6103,6,4,39186.7299,169,388
3000128516,6103,6,3,186906.896,170,392
3000129084,300,6,3,113630.897,171,395
3000129492,300,6,1,19625.22408,172,398
3000130587,6103,6,2,53098.55,173,399
3000133273,6103,6,1,9345.3448,174,401
3000134459,300,6,2,33505.18505,175,402
3000134791,6103,6,2,48319.6805,176,404
3000135810,300,6,1,71789.2396,177,406
3000137413,1700,6,1,10619.71,178,407
3000138011,6103,6,1,38230.956,179,408
3000138810,1700,6,2,61700.5151,180,409
3000140172,6103,6,2,452930.6315,181,411
3000140896,1700,6,3,66904.173,182,413
3000142205,1700,6,4,46620.5269,183,416
3000142802,300,6,1,37168.985,184,420
3000142910,6103,6,1,45664.753,185,421
3000144733,6103,6,4,197951.3944,186,422
3000146590,1700,6,2,10619.71,187,426
3000147814,1700,6,2,31859.13,188,428
3000149544,1700,6,2,61912.9093,189,430
3000150496,300,6,2,132746.375,190,432
3000150586,300,6,2,52036.579,191,434
3000151600,300,6,5,40992.0806,192,436
3000152478,1700,6,1,43540.811,193,441
3000153558,1700,6,3,127436.52,194,442
3000154210,1700,6,2,290980.054,195,445
3000154540,1700,6,4,157171.708,196,447
3000155393,300,6,2,44602.782,197,451
3000156088,300,6,2,19540.2664,198,453
3000159990,300,6,2,59682.7702,199,455
3000160376,1700,6,3,164605.505,200,457
3000161093,1700,6,1,65523.6107,201,460
3000162088,300,6,2,46057.68227,202,461
3000164199,300,6,2,127436.52,203,463
3000164659,1700,6,1,106197.1,204,465
3000165784,1700,6,1,10513.5129,205,466
3000167416,300,6,2,33133.4952,206,467
3000167607,300,6,3,56284.463,207,469
3000168172,300,6,2,25487.304,208,472
3000170571,300,6,2,90479.9292,209,474
3000172077,6103,6,3,71045.8599,210,476
3000172757,1700,6,1,73275.999,211,479
3000172972,300,6,2,72851.2106,212,480
3000176839,300,6,1,16991.536,213,482
3000177805,6103,6,4,220358.9825,214,483
3000178215,300,6,2,42478.84,215,487
3000178558,300,6,2,116710.6129,216,489
3000179058,1700,6,4,91010.9147,217,491
3000181936,300,6,2,237700.96893,218,495
3000182718,300,6,2,129985.2504,219,497
3000183149,1700,6,5,221951.939,220,499
3000183559,1700,6,2,223544.8955,221,504
3000185366,300,6,2,53204.7471,222,506
3000185516,300,6,2,105135.129,223,508
3000186250,300,6,2,129560.462,224,510
3000186853,6103,6,1,12743.652,225,512
3000187292,300,6,2,43434.6139,226,513
3000187904,1700,6,1,0,227,515
3000187915,300,6,2,99867.75284,228,516
3000188850,300,6,4,106197.1,229,518
3000189794,300,6,1,66426.28605,230,522
3000190211,300,6,4,881.43593,231,523
3000191261,6103,6,2,113635.144884,232,527
3000191437,1700,6,3,134976.5141,233,529
3000193068,300,6,1,47852.41326,234,532
3000193195,6103,6,2,116816.81,235,533
3000194823,1700,6,2,58408.405,236,535
3000195115,300,6,2,31646.7358,237,537
3000195266,300,6,2,98019.9233,238,539
3000195301,300,6,4,87081.622,239,541
3000195520,6103,6,2,0,240,545
3000195743,300,6,1,133808.346,241,547
3000197001,1700,6,2,53841.9297,242,548
3000197287,300,6,2,100993.4421,243,550
3000197515,6103,6,4,67435.1585,244,552
3000197802,1700,6,1,53098.55,245,556
3000199978,300,6,1,17841.1128,246,557
3000200165,1700,6,2,91117.1118,247,558
3000201043,1700,6,4,109574.16778,248,560
3000202637,1700,6,2,65311.2165,249,564
3000203621,6103,6,4,102161.6102,250,566
3000204099,1700,6,6,70090.086,251,570
3000204535,300,6,2,63187.2745,252,576
3000204570,1700,6,2,32602.5097,253,578
3000205567,6103,6,4,155047.766,254,580
3000206256,300,6,2,59045.5876,255,584
3000208074,1700,6,2,246377.272,256,586
3000208176,1700,6,2,36213.2111,257,588
3000208428,300,6,2,60532.347,258,590
3000208751,300,6,2,67116.5672,259,592
3000209354,1700,6,2,136888.0619,260,594
3000209603,1700,6,2,50337.4254,261,596
3000209705,6103,6,4,131684.404,262,598
3000210597,300,6,2,118346.04824,263,602
3000212037,300,6,2,92901.22308,264,604
3000212306,6103,6,2,57452.6311,265,606
3000212764,6103,6,2,87400.2133,266,608
3000213256,6103,6,1,5628.4463,267,610
3000214304,300,6,1,10194.9216,268,611
3000214594,6103,6,4,50974.608,269,612
3000216101,6103,6,2,146551.998,270,616
3000217251,1700,6,2,110986.58921,271,618
3000219029,1700,6,4,93665.8422,272,620
3000219673,300,6,2,47788.695,273,624
3000219785,6103,6,2,39186.7299,274,626
