SERIALNO,PUMA5,STATE,PERSONS,HINC,HHID,FIRSTPERSONID
3000003872,200,32,1,10619.71,0,0
3000005588,200,32,1,143366.085,1,1
3000006166,200,32,2,110338.7869,2,2
3000007282,200,32,2,198163.7886,3,4
3000007618,200,32,3,26018.2895,4,6
3000007909,102,32,2,9557.739,5,9
3000008787,102,32,1,59565.95339,6,11
3000012044,200,32,4,159295.65,7,12
3000013504,102,32,4,75399.941,8,16
3000013923,102,32,1,31752.9329,9,20
3000015384,102,32,2,95152.6016,10,21
3000015683,200,32,1,84957.68,11,23
3000016885,200,32,4,99931.4711,12,24
3000018257,102,32,2,25487.304,13,28
3000018314,102,32,4,79541.6279,14,30
3000022276,200,32,4,60213.7557,15,34
3000027406,200,32,3,53102.797884,16,38
3000027532,200,32,2,125524.9722,17,41
3000028191,200,32,4,41310.6719,18,43
3000029119,102,32,4,424788.4,19,47
3000031139,102,32,4,116816.81,20,51
3000031665,200,32,1,22407.5881,21,55
3000031670,200,32,3,0,22,56
3000031941,102,32,2,28428.96367,23,59
3000032245,200,32,1,15929.565,24,61
3000033331,102,32,4,177349.157,25,62
3000033469,200,32,5,49169.2573,26,66
3000035361,102,32,4,189243.2322,27,71
3000039689,102,32,1,21451.8142,28,75
3000040699,200,32,2,182552.8149,29,76
3000041212,200,32,3,116816.81,30,78
3000042383,200,32,1,0,31,81
3000043817,200,32,1,21027.0258,32,82
3000045320,200,32,3,69771.4947,33,83
3000047285,102,32,4,955.7739,34,86
3000047451,200,32,3,153985.795,35,90
3000050434,102,32,3,151861.853,36,93
3000051604,102,32,1,19338.49191,37,96
3000052126,200,32,2,15823.3679,38,97
3000052743,200,32,2,54160.521,39,99
3000053927,200,32,1,37168.985,40,101
3000055458,200,32,2,4035.4898,41,102
3000056332,200,32,2,37275.1821,42,104
3000058492,200,32,5,80178.8105,43,106
3000059947,102,32,4,507622.138,44,111
3000060388,200,32,2,25487.304,45,115
3000063369,102,32,2,50337.4254,46,117
3000065753,200,32,2,82833.738,47,119
3000066115,102,32,4,235757.562,48,121
3000066956,200,32,5,39653.99714,49,125
3000069579,102,32,3,99825.274,50,130
3000070605,200,32,1,0,51,133
3000073046,200,32,2,34726.4517,52,134
3000073047,200,32,2,42585.0371,53,136
3000073403,102,32,2,103085.52497,54,138
3000073741,200,32,3,59151.7847,55,140
3000078775,200,32,8,31859.13,56,143
3000079356,200,32,5,85594.8626,57,151
3000080658,200,32,2,103223.5812,58,156
3000080712,200,32,1,49700.2428,59,158
3000080845,102,32,1,58440.26413,60,159
3000081541,200,32,2,213031.3826,61,160
3000084104,200,32,1,25487.304,62,162
3000084160,102,32,2,78585.854,63,163
3000084331,200,32,1,31009.5532,64,165
3000084415,200,32,3,115839.79668,65,166
3000084611,200,32,4,137206.6532,66,169
3000084864,200,32,2,153348.6124,67,173
3000086353,200,32,3,69028.115,68,175
3000088131,102,32,2,61063.3325,69,178
3000089609,102,32,3,114056.747371,70,180
3000089702,102,32,2,190836.1887,71,183
3000089810,102,32,1,48850.666,72,185
3000090003,200,32,2,50975.669971,73,186
3000091742,200,32,1,39080.5328,74,188
3000093475,200,32,2,58833.1934,75,189
3000094824,200,32,2,65098.8223,76,191
3000095889,200,32,2,21558.0113,77,193
3000098114,200,32,3,174163.244,78,195
3000099411,102,32,2,191154.78,79,198
3000101051,200,32,2,26549.275,80,200
3000102162,102,32,3,101418.2305,81,202
3000102296,200,32,4,38549.5473,82,205
3000103113,200,32,2,48638.2718,83,209
3000104832,102,32,1,65863.44142,84,211
3000105479,200,32,2,182446.6178,85,212
3000105525,102,32,2,30797.159,86,214
3000108178,200,32,2,40354.898,87,216
3000108648,200,32,4,27579.38687,88,218
3000109360,200,32,5,69983.8889,89,222
3000111499,102,32,1,95577.39,90,227
3000111923,102,32,2,294165.967,91,228
3000112049,102,32,2,31859.13,92,230
3000115512,200,32,1,24159.84025,93,232
3000116285,200,32,2,78904.4453,94,233
3000117016,200,32,2,62443.8948,95,235
3000117216,200,32,2,110869.7724,96,237
3000117808,200,32,1,54160.521,97,239
3000117909,102,32,4,140180.172,98,240
3000119335,200,32,2,89991.42254,99,244
3000119347,200,32,1,20389.8432,100,246
3000119353,200,32,2,24956.3185,101,247
3000121135,200,32,1,13805.623,102,249
3000121143,200,32,4,52248.9732,103,250
