taz,census_tract,block_group,puma,county,county_code,state,state_code,full_census_code,area_in_sq_miles
1,1006,2,102,Washoe,31,NV,32,3.20E+11,1
2,300,2,200,Carson City,510,NV,32,3.25E+11,1
3,200,3,200,Douglas,5,NV,32,3.20E+11,1
4,10000,2,300,Alpine,3,CA,6,60030100002,1
5,31403,1,1700,El Dorado,17,CA,6,60170314031,1
6,22001,6,6103,Placer,61,CA,6,60170220016,1
7,22001,5,6103,Placer,61,CA,6,60170220015,1
10,1006,2,102,Washoe,31,NV,32,3.20E+11,1
20,300,2,200,Carson City,510,NV,32,3.25E+11,1
30,200,3,200,Douglas,5,NV,32,3.20E+11,1
40,10000,2,300,Alpine,3,CA,6,60030100002,1
50,31403,1,1700,El Dorado,17,CA,6,60170314031,1
60,22001,6,6103,Placer,61,CA,6,60170220016,1
70,22001,5,6103,Placer,61,CA,6,60170220015,1
109,30101,1,1700,El Dorado,17,CA,6,60170301440,0.12
110,30101,1,1700,El Dorado,17,CA,6,60170301440,0.06
111,30102,1,1700,El Dorado,17,CA,6,60170301440,0.23
112,30102,2,1700,El Dorado,17,CA,6,60170301440,0.29
113,30102,4,1700,El Dorado,17,CA,6,60170301440,0.14
114,30102,5,1700,El Dorado,17,CA,6,60170301440,0.37
115,30102,4,1700,El Dorado,17,CA,6,60170301440,0.54
116,30102,4,1700,El Dorado,17,CA,6,60170301440,0.32
117,30102,4,1700,El Dorado,17,CA,6,60170301440,1.48
118,30200,3,1700,El Dorado,17,CA,6,60170301440,0.08
119,30200,1,1700,El Dorado,17,CA,6,60170301440,0.08
120,30200,1,1700,El Dorado,17,CA,6,60170301440,0.11
121,30200,1,1700,El Dorado,17,CA,6,60170301440,0.16
122,30200,3,1700,El Dorado,17,CA,6,60170301440,0.1
123,30200,4,1700,El Dorado,17,CA,6,60170301440,0.28
124,30200,5,1700,El Dorado,17,CA,6,60170301440,0.13
125,30200,6,1700,El Dorado,17,CA,6,60170301440,0.1
126,30200,6,1700,El Dorado,17,CA,6,60170301440,0.14
127,30200,1,1700,El Dorado,17,CA,6,60170301440,0.1
128,30200,1,1700,El Dorado,17,CA,6,60170301440,0.05
129,30200,1,1700,El Dorado,17,CA,6,60170301440,0.01
130,30200,3,1700,El Dorado,17,CA,6,60170301440,0.14
131,30200,1,1700,El Dorado,17,CA,6,60170301440,0.22
132,30200,1,1700,El Dorado,17,CA,6,60170301440,0.25
133,30200,3,1700,El Dorado,17,CA,6,60170301440,0.23
134,30200,6,1700,El Dorado,17,CA,6,60170301440,0.27
135,30200,2,1700,El Dorado,17,CA,6,60170301440,0.16
136,30200,2,1700,El Dorado,17,CA,6,60170301440,0.96
137,30300,4,1700,El Dorado,17,CA,6,60170301440,0.11
138,30300,1,1700,El Dorado,17,CA,6,60170301440,0.43
139,30300,4,1700,El Dorado,17,CA,6,60170301440,0.29
140,30300,5,1700,El Dorado,17,CA,6,60170301440,0.33
141,30300,5,1700,El Dorado,17,CA,6,60170301440,0.28
142,30300,8,1700,El Dorado,17,CA,6,60170301440,0.35
143,30300,9,1700,El Dorado,17,CA,6,60170301440,0.19
144,30401,1,1700,El Dorado,17,CA,6,60170305536,0.2
145,30401,1,1700,El Dorado,17,CA,6,60170305536,0.32
146,30401,2,1700,El Dorado,17,CA,6,60170305536,0.1
147,30401,5,1700,El Dorado,17,CA,6,60170305536,0.3
148,30401,1,1700,El Dorado,17,CA,6,60170305536,0.3
149,30401,5,1700,El Dorado,17,CA,6,60170305536,0.11
150,30401,4,1700,El Dorado,17,CA,6,60170305536,0.09
151,30401,5,1700,El Dorado,17,CA,6,60170305536,0.14
152,30401,2,1700,El Dorado,17,CA,6,60170305536,0.11
153,30401,1,1700,El Dorado,17,CA,6,60170305536,0.23
154,30402,2,1700,El Dorado,17,CA,6,60170305536,0.29
155,30502,2,1700,El Dorado,17,CA,6,60170305536,0.12
156,30402,3,1700,El Dorado,17,CA,6,60170305536,0.15
157,30402,3,1700,El Dorado,17,CA,6,60170305536,0.04
158,30402,4,1700,El Dorado,17,CA,6,60170305536,0.26
159,30402,5,1700,El Dorado,17,CA,6,60170305536,0.35
160,30402,6,1700,El Dorado,17,CA,6,60170305536,0.11
161,30402,6,1700,El Dorado,17,CA,6,60170305536,0.08
162,30402,6,1700,El Dorado,17,CA,6,60170305536,0.13
163,30501,3,1700,El Dorado,17,CA,6,60170305536,7.82
164,30501,5,1700,El Dorado,17,CA,6,60170305536,13.42
165,30501,3,1700,El Dorado,17,CA,6,60170305536,0.37
166,30501,3,1700,El Dorado,17,CA,6,60170305536,0.4
167,30501,2,1700,El Dorado,17,CA,6,60170305536,0.34
168,30501,2,1700,El Dorado,17,CA,6,60170305536,0.16
169,30501,2,1700,El Dorado,17,CA,6,60170305536,0.38
170,30501,2,1700,El Dorado,17,CA,6,60170305536,0.75
171,30501,2,1700,El Dorado,17,CA,6,60170305536,0.56
172,30501,5,1700,El Dorado,17,CA,6,60170305536,10.56
173,30501,5,1700,El Dorado,17,CA,6,60170305536,2.53
174,30501,5,1700,El Dorado,17,CA,6,60170305536,0.84
175,30501,5,1700,El Dorado,17,CA,6,60170305536,0.93
176,30501,4,1700,El Dorado,17,CA,6,60170305536,0.46
177,30501,3,1700,El Dorado,17,CA,6,60170305536,0.35
178,30501,1,1700,El Dorado,17,CA,6,60170305536,0.29
179,30501,1,1700,El Dorado,17,CA,6,60170305536,0.66
180,30402,6,1700,El Dorado,17,CA,6,60170305536,0.63
181,30402,6,1700,El Dorado,17,CA,6,60170305536,0.61
182,30402,5,1700,El Dorado,17,CA,6,60170305536,1
183,30402,5,1700,El Dorado,17,CA,6,60170305536,0.88
184,30501,5,1700,El Dorado,17,CA,6,60170305536,0.08
185,30501,5,1700,El Dorado,17,CA,6,60170305536,0.11
186,30501,5,1700,El Dorado,17,CA,6,60170305536,0.19
187,30501,5,1700,El Dorado,17,CA,6,60170305536,8.24
188,30501,5,1700,El Dorado,17,CA,6,60170305536,0.09
189,30501,6,1700,El Dorado,17,CA,6,60170305536,22.73
190,30501,6,1700,El Dorado,17,CA,6,60170305536,0.38
191,30501,6,1700,El Dorado,17,CA,6,60170305536,0.35
192,30501,6,1700,El Dorado,17,CA,6,60170305536,1.98
193,30501,6,1700,El Dorado,17,CA,6,60170305536,0.03
194,30502,1,1700,El Dorado,17,CA,6,60170305536,0.28
195,30502,2,1700,El Dorado,17,CA,6,60170305536,0.9
196,30502,3,1700,El Dorado,17,CA,6,60170305536,0.32
197,30502,3,1700,El Dorado,17,CA,6,60170305536,0.44
198,30502,3,1700,El Dorado,17,CA,6,60170305536,0.24
199,30502,2,1700,El Dorado,17,CA,6,60170305536,0.66
200,30502,2,1700,El Dorado,17,CA,6,60170305536,1.3
201,30502,2,1700,El Dorado,17,CA,6,60170305536,0.99
202,30502,2,1700,El Dorado,17,CA,6,60170305536,0.43
203,30503,3,1700,El Dorado,17,CA,6,60170305536,0.62
204,30503,3,1700,El Dorado,17,CA,6,60170305536,0.38
205,30503,3,1700,El Dorado,17,CA,6,60170305536,1.67
206,30503,3,1700,El Dorado,17,CA,6,60170305536,1.2
207,30503,3,1700,El Dorado,17,CA,6,60170305536,1.44
208,30503,3,1700,El Dorado,17,CA,6,60170305536,2.08
209,30503,3,1700,El Dorado,17,CA,6,60170305536,0.87
210,30503,3,1700,El Dorado,17,CA,6,60170305536,4.5
211,30503,3,1700,El Dorado,17,CA,6,60170305536,11.56
212,30503,3,1700,El Dorado,17,CA,6,60170305536,0.56
213,30503,3,1700,El Dorado,17,CA,6,60170305536,1.06
214,30503,3,1700,El Dorado,17,CA,6,60170305536,3.37
215,30503,3,1700,El Dorado,17,CA,6,60170305536,6.31
216,30503,3,1700,El Dorado,17,CA,6,60170305536,0.95
217,30503,3,1700,El Dorado,17,CA,6,60170305536,6.5
218,30503,3,1700,El Dorado,17,CA,6,60170305536,2.86
219,30503,3,1700,El Dorado,17,CA,6,60170305536,2.42
220,30503,3,1700,El Dorado,17,CA,6,60170305536,0.83
221,30503,3,1700,El Dorado,17,CA,6,60170305536,0.72
222,30503,3,1700,El Dorado,17,CA,6,60170305536,1.03
223,30503,3,1700,El Dorado,17,CA,6,60170305536,0.65
224,30503,3,1700,El Dorado,17,CA,6,60170305536,0.4
225,30503,3,1700,El Dorado,17,CA,6,60170305536,0.78
226,30503,3,1700,El Dorado,17,CA,6,60170305536,6.51
227,30503,2,1700,El Dorado,17,CA,6,60170305536,5.31
228,30503,2,1700,El Dorado,17,CA,6,60170305536,2.81
229,30503,2,1700,El Dorado,17,CA,6,60170305536,0.47
230,30503,1,1700,El Dorado,17,CA,6,60170305536,0.63
231,30503,3,1700,El Dorado,17,CA,6,60170305536,0.08
232,30503,3,1700,El Dorado,17,CA,6,60170305536,5.07
233,20101,2,6103,Placer,61,CA,6,60610199552,0.05
234,20101,2,6103,Placer,61,CA,6,60610199552,4.48
235,20101,3,6103,Placer,61,CA,6,60610199552,0.03
236,20101,2,6103,Placer,61,CA,6,60610199552,1.59
237,20101,3,6103,Placer,61,CA,6,60610199552,0.11
238,20101,2,6103,Placer,61,CA,6,60610199552,1.09
239,20101,2,6103,Placer,61,CA,6,60610199552,0.14
240,20101,2,6103,Placer,61,CA,6,60610199552,2.14
241,20101,1,6103,Placer,61,CA,6,60610199552,0.71
242,20101,1,6103,Placer,61,CA,6,60610199552,0.11
243,20102,1,6103,Placer,61,CA,6,60610199552,11.44
244,20102,1,6103,Placer,61,CA,6,60610199552,0.74
245,20102,1,6103,Placer,61,CA,6,60610199552,4.33
246,20102,1,6103,Placer,61,CA,6,60610199552,2.29
247,20102,1,6103,Placer,61,CA,6,60610199552,2.8
248,20102,2,6103,Placer,61,CA,6,60610199552,1.53
249,20102,3,6103,Placer,61,CA,6,60610199552,0.49
250,20102,2,6103,Placer,61,CA,6,60610199552,0.05
251,20103,1,6103,Placer,61,CA,6,60610199552,0.56
252,20103,1,6103,Placer,61,CA,6,60610199552,0.08
253,20103,1,6103,Placer,61,CA,6,60610199552,0.24
254,20103,3,6103,Placer,61,CA,6,60610199552,0.15
255,20103,2,6103,Placer,61,CA,6,60610199552,0.05
256,20103,2,6103,Placer,61,CA,6,60610199552,0.01
257,20103,2,6103,Placer,61,CA,6,60610199552,0.07
258,20103,2,6103,Placer,61,CA,6,60610199552,0.07
259,20103,1,6103,Placer,61,CA,6,60610199552,0.03
260,20103,2,6103,Placer,61,CA,6,60610199552,0.69
261,20103,1,6103,Placer,61,CA,6,60610199552,3.03
262,20103,1,6103,Placer,61,CA,6,60610199552,2.97
263,20103,1,6103,Placer,61,CA,6,60610199552,0.43
264,20104,2,6103,Placer,61,CA,6,60610199552,0.08
265,20104,2,6103,Placer,61,CA,6,60610199552,0.04
266,20104,2,6103,Placer,61,CA,6,60610199552,0.36
267,20104,3,6103,Placer,61,CA,6,60610199552,0.38
268,20104,3,6103,Placer,61,CA,6,60610199552,0.15
269,20104,5,6103,Placer,61,CA,6,60610199552,1.05
270,20104,5,6103,Placer,61,CA,6,60610199552,0.05
271,20104,5,6103,Placer,61,CA,6,60610199552,0.83
272,20104,1,6103,Placer,61,CA,6,60610199552,0.05
273,20104,1,6103,Placer,61,CA,6,60610199552,6.48
274,20105,1,6103,Placer,61,CA,6,60610199552,1.95
275,20105,2,6103,Placer,61,CA,6,60610199552,2.84
276,20105,2,6103,Placer,61,CA,6,60610199552,1.12
277,20105,3,6103,Placer,61,CA,6,60610199552,0.06
278,20105,4,6103,Placer,61,CA,6,60610199552,0.49
279,20105,4,6103,Placer,61,CA,6,60610199552,3.39
280,20106,1,6103,Placer,61,CA,6,60610199552,0.18
281,20106,2,6103,Placer,61,CA,6,60610199552,0.5
282,20106,2,6103,Placer,61,CA,6,60610199552,0.33
283,20106,3,6103,Placer,61,CA,6,60610199552,0.22
284,20106,3,6103,Placer,61,CA,6,60610199552,0.33
285,20106,1,6103,Placer,61,CA,6,60610199552,0.22
286,20106,1,6103,Placer,61,CA,6,60610199552,0.75
287,20106,3,6103,Placer,61,CA,6,60610199552,1.33
288,20106,3,6103,Placer,61,CA,6,60610199552,5.13
289,20107,3,6103,Placer,61,CA,6,60610199552,0.06
290,20107,2,6103,Placer,61,CA,6,60610199552,0.68
291,20107,4,6103,Placer,61,CA,6,60610199552,0.13
292,20107,4,6103,Placer,61,CA,6,60610199552,0.78
300,302,2,200,Douglas,5,NV,32,3.20E+11,0.11
301,302,2,200,Douglas,5,NV,32,3.20E+11,0.37
302,302,2,200,Douglas,5,NV,32,3.20E+11,0.11
303,400,1,200,Douglas,5,NV,32,3.20E+11,0.06
304,400,2,200,Douglas,5,NV,32,3.20E+11,0.06
305,400,3,200,Douglas,5,NV,32,3.20E+11,0.05
306,302,2,200,Douglas,5,NV,32,3.20E+11,0.09
307,400,1,200,Douglas,5,NV,32,3.20E+11,0.4
308,400,1,200,Douglas,5,NV,32,3.20E+11,2.99
309,400,1,200,Douglas,5,NV,32,3.20E+11,0.18
310,400,1,200,Douglas,5,NV,32,3.20E+11,0
311,400,1,200,Douglas,5,NV,32,3.20E+11,0.6
312,400,2,200,Douglas,5,NV,32,3.20E+11,0.25
313,400,3,200,Douglas,5,NV,32,3.20E+11,0.51
314,400,2,200,Douglas,5,NV,32,3.20E+11,0.45
315,400,1,200,Douglas,5,NV,32,3.20E+11,0.94
316,400,1,200,Douglas,5,NV,32,3.20E+11,1.09
317,302,1,200,Douglas,5,NV,32,3.20E+11,0.43
318,302,1,200,Douglas,5,NV,32,3.20E+11,0.08
319,302,1,200,Douglas,5,NV,32,3.20E+11,0.3
320,301,3,200,Douglas,5,NV,32,3.20E+11,0.1
321,302,1,200,Douglas,5,NV,32,3.20E+11,0.21
322,302,1,200,Douglas,5,NV,32,3.20E+11,0.06
323,302,1,200,Douglas,5,NV,32,3.20E+11,2.26
324,301,3,200,Douglas,5,NV,32,3.20E+11,0.15
325,301,3,200,Douglas,5,NV,32,3.20E+11,3.54
326,301,3,200,Douglas,5,NV,32,3.20E+11,0.37
327,301,2,200,Douglas,5,NV,32,3.20E+11,1.39
328,301,2,200,Douglas,5,NV,32,3.20E+11,2.74
329,301,2,200,Douglas,5,NV,32,3.20E+11,0.41
330,301,2,200,Douglas,5,NV,32,3.20E+11,0.46
331,301,1,200,Douglas,5,NV,32,3.20E+11,2.74
332,301,1,200,Douglas,5,NV,32,3.20E+11,0.07
333,301,1,200,Douglas,5,NV,32,3.20E+11,0.11
334,301,1,200,Douglas,5,NV,32,3.20E+11,0.74
335,301,1,200,Douglas,5,NV,32,3.20E+11,2.58
336,301,1,200,Douglas,5,NV,32,3.20E+11,1.6
337,301,1,200,Douglas,5,NV,32,3.20E+11,0.2
338,301,1,200,Douglas,5,NV,32,3.20E+11,2.98
339,200,1,200,Douglas,5,NV,32,3.20E+11,0.36
340,301,1,200,Douglas,5,NV,32,3.20E+11,0.58
341,301,1,200,Douglas,5,NV,32,3.20E+11,1.07
342,301,1,200,Douglas,5,NV,32,3.20E+11,0.42
343,301,1,200,Douglas,5,NV,32,3.20E+11,1.57
344,301,1,200,Douglas,5,NV,32,3.20E+11,0.85
345,300,2,200,Carson City,510,NV,32,3.25E+11,2.16
346,300,2,200,Carson City,510,NV,32,3.25E+11,1.46
347,300,2,200,Carson City,510,NV,32,3.25E+11,3.72
348,300,2,200,Carson City,510,NV,32,3.25E+11,0.37
349,300,2,200,Carson City,510,NV,32,3.25E+11,0.31
350,300,2,200,Carson City,510,NV,32,3.25E+11,0.31
351,300,2,200,Carson City,510,NV,32,3.25E+11,1.46
352,3302,3,102,Washoe,31,NV,32,3.20E+11,0.12
353,3304,6,102,Washoe,31,NV,32,3.20E+11,3.56
354,3302,3,102,Washoe,31,NV,32,3.20E+11,0.2
355,3302,3,102,Washoe,31,NV,32,3.20E+11,0.11
356,3304,6,102,Washoe,31,NV,32,3.20E+11,1.79
357,3304,6,102,Washoe,31,NV,32,3.20E+11,0.88
358,3302,3,102,Washoe,31,NV,32,3.20E+11,0.03
359,3304,6,102,Washoe,31,NV,32,3.20E+11,1.64
360,3302,4,102,Washoe,31,NV,32,3.20E+11,0.12
361,3302,4,102,Washoe,31,NV,32,3.20E+11,0.29
362,3302,4,102,Washoe,31,NV,32,3.20E+11,0.18
363,3302,4,102,Washoe,31,NV,32,3.20E+11,0.03
364,3302,3,102,Washoe,31,NV,32,3.20E+11,0.14
365,3302,2,102,Washoe,31,NV,32,3.20E+11,0.06
366,3304,6,102,Washoe,31,NV,32,3.20E+11,1.59
367,3304,6,102,Washoe,31,NV,32,3.20E+11,0.26
368,3304,5,102,Washoe,31,NV,32,3.20E+11,2.17
369,3304,5,102,Washoe,31,NV,32,3.20E+11,3.4
370,3304,5,102,Washoe,31,NV,32,3.20E+11,0.61
371,3304,4,102,Washoe,31,NV,32,3.20E+11,0.1
372,3304,4,102,Washoe,31,NV,32,3.20E+11,0.09
373,3304,4,102,Washoe,31,NV,32,3.20E+11,0.21
374,3304,3,102,Washoe,31,NV,32,3.20E+11,0.45
375,3302,3,102,Washoe,31,NV,32,3.20E+11,0.07
376,3302,3,102,Washoe,31,NV,32,3.20E+11,0.19
377,3302,3,102,Washoe,31,NV,32,3.20E+11,0.12
378,3302,2,102,Washoe,31,NV,32,3.20E+11,0.06
379,3302,2,102,Washoe,31,NV,32,3.20E+11,0.05
380,3302,1,102,Washoe,31,NV,32,3.20E+11,0.05
381,3302,1,102,Washoe,31,NV,32,3.20E+11,0.04
382,3302,1,102,Washoe,31,NV,32,3.20E+11,0.15
383,3302,1,102,Washoe,31,NV,32,3.20E+11,0.22
384,3302,1,102,Washoe,31,NV,32,3.20E+11,0.05
385,3304,2,102,Washoe,31,NV,32,3.20E+11,0.79
386,3304,2,102,Washoe,31,NV,32,3.20E+11,4.05
387,3304,2,102,Washoe,31,NV,32,3.20E+11,2.33
388,3304,1,102,Washoe,31,NV,32,3.20E+11,0.05
389,3304,1,102,Washoe,31,NV,32,3.20E+11,0.13
390,3302,1,102,Washoe,31,NV,32,3.20E+11,0.07
391,3304,1,102,Washoe,31,NV,32,3.20E+11,1.92
392,3304,1,102,Washoe,31,NV,32,3.20E+11,1.95
393,3304,1,102,Washoe,31,NV,32,3.20E+11,0.75
394,3304,1,102,Washoe,31,NV,32,3.20E+11,0.11
395,3304,1,102,Washoe,31,NV,32,3.20E+11,0.06
396,3304,1,102,Washoe,31,NV,32,3.20E+11,0.09
397,3304,1,102,Washoe,31,NV,32,3.20E+11,0.04
