taz,total_residential_units,census_occ_rate,total_occ_units,occ_units_low_inc,occ_units_med_inc,occ_units_high_inc,persons_per_occ_unit,total_persons,emp_retail,emp_srvc,emp_rec,emp_game,emp_other
109,335,0.305522,102,67,36,0,1.587130428,162,13,454,56,0,73
110,2,0.305522,1,0,0,0,1.587130428,1,119,834,23,0,157
111,282,0.305522,86,56,30,0,1.587130428,137,74,256,4,0,90
112,1102,0.3819025,421,244,100,78,2.879217379,1212,0,139,7,0,23
113,477,0.370991,177,96,64,17,2.299304338,407,81,87,3,0,40
114,305,0.414637,126,70,49,7,2.329826077,295,0,24,0,0,18
115,281,0.370991,104,57,38,10,2.299304338,240,0,0,0,0,103
116,3,0.370991,1,1,0,0,2.299304338,3,0,0,0,0,0
117,0,0,0,0,0,0,0,0,7,126,450,0,0
118,311,0.720159,224,93,65,66,2.421391294,542,52,357,157,0,71
119,95,0.5564865,53,29,10,14,1.841478253,97,30,180,57,0,63
120,34,0.5564865,19,10,3,5,1.841478253,35,0,124,16,0,236
121,405,0.5564865,225,124,41,60,1.841478253,415,0,9,0,0,3
122,0,0,0,0,0,0,0,0,0,0,0,0,0
123,567,0.720159,408,170,118,120,2.421391294,989,0,2,0,0,19
124,359,0.698336,251,195,20,35,3.326869551,834,12,87,6,0,58
125,299,0.741982,222,118,57,47,2.869043466,637,0,4,0,0,3
126,291,0.741982,216,115,55,45,2.869043466,619,0,0,0,0,63
127,0,0,0,0,0,0,0,0,0,0,0,0,211
128,0,0,0,0,0,0,0,0,65,0,0,0,109
129,0,0,0,0,0,0,0,0,0,0,0,0,0
130,0,0,0,0,0,0,0,0,0,0,0,0,8
131,0,0,0,0,0,0,0,0,0,0,0,0,383
132,0,0,0,0,0,0,0,0,0,0,0,0,0
133,117,0.720159,84,35,24,25,2.421391294,204,0,0,0,0,5
134,373,0.741982,277,148,71,58,2.869043466,794,0,0,0,0,0
135,127,0.5564865,71,39,13,19,1.841478253,130,0,0,0,0,0
136,0,0,0,0,0,0,0,0,0,0,0,0,0
137,394,0.5346635,211,148,54,9,2.024608687,426,0,14,0,0,6
138,680,0.501929,341,231,85,25,2.685913032,917,7,144,13,0,53
139,550,0.5128405,282,156,42,84,2.126347817,600,3,22,0,0,104
140,148,0.567398,84,60,6,18,2.156869556,181,15,43,6,0,16
141,370,0.567398,210,150,16,44,2.156869556,453,26,59,0,0,55
142,965,0.458283,442,322,79,41,3.031826074,1341,26,62,1,0,63
143,557,0.894743,498,296,78,125,2.757130423,1374,14,93,4,0,64
144,275,0.327345,90,46,6,39,2.74695651,247,1,1,44,0,67
145,717,0.327345,235,119,15,101,2.74695651,645,0,0,0,0,4
146,261,0.501929,131,53,44,34,1.953391296,256,0,12,10,0,9
147,621,0.501929,312,126,104,81,1.953391296,609,0,3,0,0,101
148,513,0.589221,302,135,26,141,2.553652163,772,29,26,0,0,31
149,279,0.43646,122,72,7,43,2.044956513,249,5,77,0,0,177
150,63,0.6437785,41,31,3,7,2.573999989,104,145,30,4,0,340
151,123,0.501929,62,25,21,16,1.953391296,121,1,0,0,0,2
152,165,0.501929,83,33,28,22,1.953391296,162,0,0,0,0,11
153,358,0.327345,117,59,7,50,2.74695651,322,1,0,0,0,78
154,668,0.65469,437,249,112,77,2.167043469,948,0,11,0,0,31
155,0,0,0,0,0,0,0,0,0,0,0,0,0
156,346,0.65469,227,129,58,40,2.167043469,491,10,27,0,0,38
157,38,0.65469,25,14,6,4,2.167043469,54,83,0,0,0,59
158,387,0.65469,253,175,53,25,2.614695641,662,192,97,0,0,299
159,558,0.5128405,286,79,84,123,3.062347813,876,0,32,0,0,47
160,585,0.829274,485,437,48,0,1.983913035,962,0,33,2,0,62
161,17,0.829274,14,13,1,0,1.983913035,28,174,181,0,0,101
162,280,0.829274,232,209,23,0,1.983913035,461,0,2,0,0,958
163,0,0,0,0,0,0,0,0,0,0,0,0,0
164,1,0.480106,0,0,0,0,2.492608685,1,0,0,0,0,0
165,353,0.327345,116,26,39,50,2.370521729,274,0,0,0,0,61
166,237,0.327345,78,17,27,34,2.370521729,184,0,0,0,0,8
167,225,0.632867,142,65,30,47,3.214956508,458,2,0,0,0,25
168,137,0.632867,87,40,18,29,3.214956508,279,0,0,0,0,10
169,60,0.632867,38,17,8,13,3.214956508,122,0,0,1,0,2
170,185,0.632867,117,54,24,39,3.214956508,376,0,0,0,0,24
171,64,0.632867,41,19,8,14,3.214956508,130,0,0,0,0,6
172,0,0,0,0,0,0,0,0,0,0,0,0,0
173,0,0,0,0,0,0,0,0,0,0,0,0,0
174,1,0.480106,0,0,0,0,2.492608685,1,0,0,0,0,0
175,892,0.480106,428,196,117,115,2.492608685,1067,7,0,6,0,28
176,271,0.3382565,92,40,22,29,2.482434772,228,0,0,0,0,7
177,49,0.327345,16,4,5,7,2.370521729,38,0,0,0,0,0
178,399,0.4473715,179,88,25,65,2.095826078,374,0,12,0,0,7
179,314,0.4473715,140,70,20,51,2.095826078,294,0,0,0,0,46
180,1,0.829274,1,1,0,0,1.983913035,2,19,50,149,0,532
181,0,0,0,0,0,0,0,0,0,9,0,0,22
182,10,0.5128405,5,1,1,2,3.062347813,16,1,0,0,0,2
183,32,0.5128405,16,5,5,7,3.062347813,50,0,0,0,0,10
184,2,0.480106,1,0,0,0,2.492608685,2,0,0,0,0,0
185,78,0.480106,37,17,10,10,2.492608685,93,0,41,18,0,19
186,75,0.480106,36,16,10,10,2.492608685,90,0,0,0,0,8
187,22,0.480106,11,5,3,3,2.492608685,26,0,0,0,0,0
188,60,0.480106,29,13,8,8,2.492608685,72,0,0,0,0,20
189,13,0.5564865,7,4,2,1,2.533304337,18,0,0,0,0,0
190,18,0.5564865,10,5,3,2,2.533304337,25,0,0,0,0,3
191,246,0.5564865,137,73,42,22,2.533304337,347,1,0,0,0,4
192,451,0.5564865,251,133,77,41,2.533304337,636,0,0,0,0,12
193,2,0.5564865,1,1,0,0,2.533304337,3,0,0,0,0,0
194,23,0.523752,12,6,2,4,2.33999999,28,0,0,0,0,3
195,774,0.567398,439,83,158,198,2.502782598,1099,0,0,0,0,56
196,21,0.7528935,16,4,3,9,2.980956509,47,7,40,0,0,51
197,518,0.7528935,390,86,70,234,2.980956509,1163,2,15,0,0,33
198,0,0,0,0,0,0,0,0,0,0,16,0,7
199,4,0.567398,2,0,1,1,2.502782598,6,0,0,0,0,0
200,500,0.567398,284,54,102,128,2.502782598,710,0,0,0,0,10
201,0,0,0,0,0,0,0,0,0,0,0,0,0
202,98,0.567398,56,11,20,25,2.502782598,139,0,0,0,0,16
203,31,0.065469,2,1,0,1,1.719391297,3,14,228,21,0,36
204,0,0,0,0,0,0,0,0,0,0,0,0,0
205,0,0,0,0,0,0,0,0,0,0,0,0,0
206,0,0,0,0,0,0,0,0,0,0,0,0,0
207,44,0.0327345,1,1,0,1,3.082695639,4,0,0,0,0,0
208,164,0.065469,11,6,0,5,1.719391297,18,0,0,0,0,0
209,27,0.065469,2,1,0,1,1.719391297,3,0,0,0,0,0
210,17,0.065469,1,1,0,1,1.719391297,2,0,0,0,0,0
211,39,0.0327345,1,1,0,1,3.082695639,4,0,0,0,0,0
212,0,0,0,0,0,0,0,0,0,0,0,0,0
213,0,0,0,0,0,0,0,0,0,0,0,0,0
214,136,0.0327345,4,2,0,2,3.082695639,14,0,0,0,0,0
215,42,0.0327345,1,1,0,1,3.082695639,4,0,0,0,0,0
216,0,0,0,0,0,0,0,0,0,0,0,0,0
217,22,0.0327345,1,0,0,0,3.082695639,2,0,0,0,0,0
218,1,0.0327345,0,0,0,0,3.082695639,0,0,0,0,0,0
219,0,0,0,0,0,0,0,0,0,0,0,0,0
220,15,0.0327345,0,0,0,0,3.082695639,2,0,0,0,0,0
221,14,0.0327345,0,0,0,0,3.082695639,1,0,0,0,0,0
222,295,0.0327345,10,4,0,5,3.082695639,30,0,0,0,0,0
223,0,0,0,0,0,0,0,0,0,0,0,0,0
224,274,0.0327345,9,4,0,5,3.082695639,28,0,0,0,0,22
225,63,0.0327345,2,1,0,1,3.082695639,6,0,0,0,0,0
226,0,0,0,0,0,0,0,0,0,0,0,0,0
227,0,0,0,0,0,0,0,0,0,0,0,0,0
228,3,0.1636725,0,0,0,0,2.350173903,1,0,19,0,0,60
229,122,0.1636725,20,7,7,6,2.350173903,47,0,0,0,0,5
230,946,0.1636725,155,57,54,44,2.350173903,364,0,0,0,0,22
231,91,0.1636725,15,5,5,4,2.350173903,35,0,0,0,0,0
232,201,0.065469,13,7,0,6,1.719391297,23,0,15,0,0,6
233,60,0.130938,8,3,3,1,1.882173905,15,0,0,0,0,0
234,547,0.130938,72,31,27,14,1.882173905,135,0,0,0,0,40
235,46,0.130938,6,3,2,1,1.882173905,11,0,0,0,0,0
236,185,0.130938,24,11,9,5,1.882173905,46,0,49,11,0,4
237,111,0.130938,15,6,5,3,1.882173905,27,0,0,0,0,0
238,1,0.130938,0,0,0,0,1.882173905,0,0,0,0,0,0
239,98,0.130938,13,6,5,2,1.882173905,24,29,0,148,0,40
240,5,0.130938,1,0,0,0,1.882173905,1,0,0,0,0,0
241,327,0.152761,50,31,4,14,1.821130427,91,0,0,0,0,22
242,83,0.152761,13,8,1,4,1.821130427,23,0,0,0,0,0
243,116,0.0982035,11,8,0,3,1.749913036,20,0,0,0,0,0
244,195,0.0982035,19,14,0,5,1.749913036,34,0,0,0,0,13
245,0,0,0,0,0,0,0,0,0,0,0,0,0
246,0,0,0,0,0,0,0,0,0,0,0,0,0
247,95,0.0982035,9,7,0,3,1.749913036,16,0,0,0,0,12
248,355,0.2946105,105,36,28,40,2.187391295,229,0,0,0,0,14
249,603,0.2946105,178,62,48,69,2.187391295,389,37,258,18,0,51
250,0,0,0,0,0,0,0,0,0,0,0,0,0
251,303,0.283699,86,24,19,43,2.64521738,227,0,0,0,0,23
252,49,0.283699,14,4,3,7,2.64521738,37,0,0,0,0,0
253,208,0.283699,59,16,13,29,2.64521738,156,0,106,1,0,39
254,272,0.1636725,45,23,19,3,2.278956512,101,26,34,10,0,272
255,31,0.1636725,5,3,2,0,2.278956512,12,118,152,78,0,162
256,5,0.1636725,1,0,0,0,2.278956512,2,293,0,1,0,64
257,24,0.1636725,4,2,2,0,2.278956512,9,150,324,60,0,150
258,1,0.283699,0,0,0,0,2.64521738,1,0,0,0,0,0
259,1,0.283699,0,0,0,0,2.64521738,1,0,0,0,0,0
260,234,0.283699,66,19,15,33,2.64521738,176,21,10,19,0,151
261,13,0.283699,4,1,1,2,2.64521738,10,0,0,0,0,0
262,12,0.283699,3,1,1,2,2.64521738,9,3,9,1,0,73
263,0,0,0,0,0,0,0,0,0,0,0,0,0
264,60,0.327345,20,12,5,2,1.292086951,25,0,0,0,0,0
265,0,0,0,0,0,0,0,0,0,0,0,0,0
266,673,0.327345,220,138,56,25,1.292086951,285,4,16,0,0,274
267,663,0.1854955,123,47,61,15,2.289130425,282,1,0,0,0,2
268,170,0.1854955,32,12,16,4,2.289130425,72,0,0,0,0,19
269,23,0.283699,7,3,1,2,1.973739122,13,3,0,0,0,3
270,41,0.3819025,16,6,6,4,2.105999991,33,0,0,1,0,5
271,199,0.3819025,76,28,27,22,2.105999991,160,0,0,0,0,147
272,0,0,0,0,0,0,0,0,0,0,0,0,0
273,109,0.3819025,42,15,15,12,2.105999991,88,0,5,0,0,20
274,961,0.283699,273,128,49,95,1.973739122,538,0,0,0,0,160
275,24,0.283699,7,3,1,2,1.973739122,13,0,0,0,0,0
276,87,0.283699,25,12,4,9,1.973739122,49,0,130,33,0,5
277,43,0.240053,10,5,2,4,2.095826078,22,5,37,2,0,29
278,556,0.240053,133,59,21,53,2.095826078,280,0,0,0,0,33
279,191,0.283699,54,26,10,19,1.973739122,107,0,0,0,0,0
280,120,0.4037255,48,24,12,13,3.184434769,154,1,0,0,0,13
281,522,0.4037255,211,102,50,58,3.184434769,671,27,41,53,0,207
282,244,0.261876,64,33,10,20,2.207739121,141,0,0,0,0,25
283,197,0.261876,52,27,8,16,2.207739121,114,0,0,0,0,6
284,94,0.261876,25,13,4,8,2.207739121,54,0,0,0,0,0
285,0,0,0,0,0,0,0,0,0,0,0,0,0
286,220,0.4037255,89,43,21,24,3.184434769,283,0,0,0,0,13
287,0,0,0,0,0,0,0,0,0,0,0,0,0
288,435,0.261876,114,59,18,36,2.207739121,251,0,0,0,0,13
289,102,0.4910175,50,32,3,15,2.858869553,143,0,0,0,0,0
290,1240,0.523752,649,507,91,51,2.421391294,1573,98,372,33,0,464
291,188,0.523752,98,77,14,8,2.421391294,238,0,0,0,0,15
292,182,0.523752,95,74,13,8,2.421391294,231,0,0,0,0,8
300,0,0,0,0,0,0,0,0,9,27,0,1912,49
301,0,0,0,0,0,0,0,0,7,0,75,0,0
