a,dtaz,shortWalk
1,1,0
2,2,0
3,3,0
4,4,0
5,5,0
6,6,0
7,7,0
8,10,0
9,20,0
10,30,0
11,40,0
12,50,0
13,60,0
14,70,0
15,109,1
16,110,1
17,111,1
18,111,2
19,112,1
20,112,2
21,113,1
22,113,2
23,114,0
24,114,1
25,114,2
26,115,0
27,115,1
28,115,2
29,116,0
30,116,1
31,116,2
32,117,0
33,118,1
34,119,1
35,120,1
36,121,1
37,121,2
38,122,1
39,122,2
40,123,1
41,123,2
42,124,1
43,125,1
44,125,2
45,126,0
46,126,1
47,126,2
48,127,1
49,128,1
50,129,1
51,130,1
52,130,2
53,131,0
54,131,1
55,131,2
56,132,0
57,132,1
58,132,2
59,133,0
60,133,1
61,133,2
62,134,0
63,134,2
64,135,0
65,135,2
66,136,0
67,137,0
68,137,1
69,137,2
70,138,0
71,138,1
72,138,2
73,139,0
74,139,1
75,139,2
76,140,0
77,140,1
78,140,2
79,141,0
80,141,1
81,141,2
82,142,0
83,142,1
84,142,2
85,143,0
86,143,1
87,143,2
88,144,0
89,145,0
90,145,2
91,146,1
92,146,2
93,147,0
94,147,1
95,147,2
96,148,0
97,148,1
98,148,2
99,149,1
100,150,1
101,151,0
102,151,1
103,151,2
104,152,0
105,152,2
106,153,0
107,154,0
108,154,1
109,154,2
110,155,0
111,155,1
112,155,2
113,156,1
114,156,2
115,157,1
116,158,1
117,158,2
118,159,0
119,159,1
120,159,2
121,160,1
122,160,2
123,161,1
124,162,1
125,163,0
126,164,0
127,165,0
128,166,0
129,167,0
130,168,0
131,169,0
132,170,0
133,170,2
134,171,0
135,172,0
136,173,0
137,174,0
138,175,0
139,176,0
140,177,0
141,178,0
142,179,0
143,180,0
144,180,1
145,180,2
146,181,0
147,181,1
148,181,2
149,182,0
150,182,2
151,183,0
152,183,2
153,184,0
154,185,0
155,186,0
156,187,0
157,188,0
158,189,0
159,190,0
160,191,0
161,192,0
162,193,0
163,194,0
164,195,0
165,196,0
166,197,0
167,198,0
168,199,0
169,200,0
170,201,0
171,201,1
172,201,2
173,202,0
174,203,0
175,203,1
176,203,2
177,204,0
178,204,1
179,204,2
180,205,0
181,205,1
182,205,2
183,206,0
184,206,1
185,206,2
186,207,0
187,207,1
188,207,2
189,208,0
190,209,0
191,210,0
192,211,0
193,212,0
194,212,1
195,212,2
196,213,0
197,213,1
198,213,2
199,214,0
200,214,1
201,214,2
202,215,1
203,216,0
204,216,1
205,216,2
206,217,1
207,218,1
208,219,0
209,220,0
210,220,2
211,221,0
212,222,0
213,223,0
214,224,0
215,225,0
216,226,0
217,227,0
218,228,0
219,228,1
220,228,2
221,229,0
222,229,1
223,229,2
224,230,0
225,230,1
226,230,2
227,231,1
228,232,0
229,233,1
230,234,0
231,234,1
232,234,2
233,235,1
234,236,0
235,236,1
236,236,2
237,237,1
238,237,2
239,238,1
240,238,2
241,239,1
242,240,0
243,240,1
244,240,2
245,241,0
246,241,1
247,241,2
248,242,0
249,242,1
250,242,2
251,243,0
252,243,1
253,243,2
254,244,0
255,244,1
256,244,2
257,245,0
258,245,2
259,246,0
260,247,0
261,248,0
262,248,2
263,249,0
264,249,1
265,249,2
266,250,1
267,250,2
268,251,0
269,251,1
270,251,2
271,252,0
272,252,2
273,253,1
274,253,2
275,254,1
276,255,1
277,256,1
278,257,1
279,258,1
280,258,2
281,259,1
282,260,0
283,260,1
284,260,2
285,261,0
286,261,2
287,262,0
288,262,1
289,262,2
290,263,0
291,264,1
292,265,1
293,265,2
294,266,1
295,266,2
296,267,0
297,267,1
298,267,2
299,268,0
300,268,1
301,268,2
302,269,0
303,269,1
304,269,2
305,270,0
306,270,1
307,270,2
308,271,0
309,271,1
310,271,2
311,272,1
312,272,2
313,273,0
314,273,1
315,273,2
316,274,0
317,274,1
318,274,2
319,275,0
320,275,1
321,275,2
322,276,1
323,276,2
324,277,1
325,278,1
326,278,2
327,279,0
328,279,1
329,279,2
330,280,1
331,280,2
332,281,0
333,281,1
334,281,2
335,282,0
336,282,1
337,282,2
338,283,0
339,283,2
340,284,0
341,284,2
342,285,0
343,285,2
344,286,0
345,286,2
346,287,0
347,288,0
348,288,2
349,289,1
350,290,0
351,290,1
352,290,2
353,291,1
354,291,2
355,292,0
356,292,1
357,292,2
358,300,1
359,301,0
360,301,1
361,301,2
362,302,1
363,303,1
364,304,1
365,304,2
366,305,1
367,306,1
368,306,2
369,307,0
370,307,1
371,307,2
372,308,1
373,308,2
374,309,1
375,309,2
376,310,1
377,311,1
378,311,2
379,312,1
380,312,2
381,313,0
382,313,1
383,313,2
384,314,0
385,314,1
386,314,2
387,315,0
388,315,1
389,315,2
390,316,0
391,316,1
392,316,2
393,317,0
394,317,1
395,317,2
396,318,1
397,318,2
398,319,1
399,319,2
400,320,1
401,320,2
402,321,1
403,321,2
404,322,1
405,323,0
406,323,1
407,323,2
408,324,0
409,324,1
410,324,2
411,325,0
412,325,1
413,325,2
414,326,0
415,327,0
416,328,0
417,329,0
418,330,0
419,331,0
420,332,0
421,333,0
422,334,0
423,335,0
424,336,0
425,337,0
426,338,0
427,339,0
428,340,0
429,341,0
430,342,0
431,343,0
432,344,0
433,345,0
434,346,0
435,347,0
436,348,0
437,349,0
438,350,0
439,351,0
440,352,0
441,353,0
442,354,0
443,355,0
444,356,0
445,357,0
446,358,0
447,359,0
448,360,0
449,360,1
450,360,2
451,361,0
452,361,1
453,361,2
454,362,1
455,362,2
456,363,1
457,364,1
458,365,1
459,366,0
460,366,2
461,367,0
462,367,1
463,367,2
464,368,0
465,368,2
466,369,0
467,369,2
468,370,0
469,370,1
470,370,2
471,371,0
472,371,1
473,371,2
474,372,1
475,372,2
476,373,0
477,373,1
478,373,2
479,374,0
480,375,0
481,375,1
482,375,2
483,376,1
484,376,2
485,377,1
486,377,2
487,378,1
488,379,1
489,380,1
490,381,1
491,382,0
492,382,1
493,382,2
494,383,0
495,383,1
496,383,2
497,384,0
498,384,1
499,384,2
500,385,0
501,386,0
502,387,0
503,387,2
504,388,1
505,388,2
506,389,1
507,389,2
508,390,1
509,390,2
510,391,0
511,391,1
512,391,2
513,392,0
514,392,1
515,392,2
516,393,1
517,393,2
518,394,1
519,395,1
520,396,1
521,396,2
522,397,1
523,397,2
