State,County,Tract,HHSize,HHWorkers,HHIncome,nHHs
32,5,301,1,0,low,53
32,5,301,1,0,med,11
32,5,301,1,0,high,18
32,5,301,1,1,low,76
32,5,301,1,1,med,58
32,5,301,1,1,high,34
32,5,301,2,0,low,39
32,5,301,2,0,med,75
32,5,301,2,0,high,49
32,5,301,2,1,low,18
32,5,301,2,1,med,22
32,5,301,2,1,high,63
32,5,301,2,2,low,15
32,5,301,2,2,med,58
32,5,301,2,2,high,49
32,5,301,3,0,low,4
32,5,301,3,0,med,0
32,5,301,3,0,high,4
32,5,301,3,1,low,0
32,5,301,3,1,med,8
32,5,301,3,1,high,40
32,5,301,3,2,low,0
32,5,301,3,2,med,14
32,5,301,3,2,high,0
32,5,301,3,3+,low,0
32,5,301,3,3+,med,0
32,5,301,3,3+,high,8
32,5,301,4+,0,low,10
32,5,301,4+,0,med,0
32,5,301,4+,0,high,10
32,5,301,4+,1,low,20
32,5,301,4+,1,med,10
32,5,301,4+,1,high,50
32,5,301,4+,2,low,3
32,5,301,4+,2,med,7
32,5,301,4+,2,high,24
32,5,301,4+,3+,low,0
32,5,301,4+,3+,med,10
32,5,301,4+,3+,high,8
32,5,302,1,0,low,76
32,5,302,1,0,med,14
32,5,302,1,0,high,8
32,5,302,1,1,low,152
32,5,302,1,1,med,63
32,5,302,1,1,high,8
32,5,302,2,0,low,22
32,5,302,2,0,med,47
32,5,302,2,0,high,40
32,5,302,2,1,low,26
32,5,302,2,1,med,22
32,5,302,2,1,high,28
32,5,302,2,2,low,60
32,5,302,2,2,med,74
32,5,302,2,2,high,69
32,5,302,3,0,low,4
32,5,302,3,0,med,4
32,5,302,3,0,high,14
32,5,302,3,1,low,40
32,5,302,3,1,med,4
32,5,302,3,1,high,4
32,5,302,3,2,low,10
32,5,302,3,2,med,39
32,5,302,3,2,high,4
32,5,302,3,3+,low,0
32,5,302,3,3+,med,0
32,5,302,3,3+,high,0
32,5,302,4+,0,low,6
32,5,302,4+,0,med,4
32,5,302,4+,0,high,4
32,5,302,4+,1,low,30
32,5,302,4+,1,med,20
32,5,302,4+,1,high,10
32,5,302,4+,2,low,10
32,5,302,4+,2,med,20
32,5,302,4+,2,high,0
32,5,302,4+,3+,low,0
32,5,302,4+,3+,med,8
32,5,302,4+,3+,high,20
32,5,400,1,0,low,67
32,5,400,1,0,med,27
32,5,400,1,0,high,40
32,5,400,1,1,low,94
32,5,400,1,1,med,71
