SERIALNO,PUMA5,STATE,PERSONS,HINC,HHID,FIRSTPERSONID
3000000022,300,6,2,530985.5,0,0
3000000145,6103,6,4,424788.39999999997,1,2
3000000173,6103,6,2,1401801.72,2,6
3000000234,1700,6,1,407796.864,3,8
3000000360,300,6,3,1623753.659,4,9
3000000655,300,6,3,219827.997,5,12
3000000724,300,6,1,658422.02,6,15
3000000837,6103,6,4,2123942,7,16
3000002094,1700,6,1,243191.359,8,20
3000002163,6103,6,4,637182.6,9,21
3000002398,300,6,1,237881.504,10,25
3000003427,6103,6,2,622315.0059999999,11,26
3000003857,6103,6,2,784053.1893,12,28
3000004453,300,6,4,541605.21,13,30
3000005774,1700,6,3,1412463.90884,14,34
3000007266,300,6,2,341954.662,15,37
3000010403,6103,6,1,382309.56,16,39
3000010543,6103,6,4,3005484.1270999997,17,40
3000010788,1700,6,2,892055.64,18,44
3000012515,1700,6,2,1236134.244,19,46
3000014116,1700,6,5,138056.22999999998,20,48
3000014420,6103,6,2,265492.75,21,53
3000014569,1700,6,2,212606.5942,22,55
3000018595,300,6,2,226199.823,23,57
3000018665,6103,6,2,2654927.5,24,59
3000019935,1700,6,4,780761.0791999999,25,61
3000020152,6103,6,3,148675.94,26,65
3000020828,1700,6,4,1325339.808,27,68
3000021049,1700,6,1,590455.8759999999,28,72
3000022565,1700,6,1,270802.605,29,73
3000023454,6103,6,3,625500.919,30,74
3000025682,6103,6,4,4502757.04,31,77
3000026410,300,6,2,1391182.01,32,81
3000027134,1700,6,2,1359322.88,33,83
3000027437,300,6,1,0,34,85
3000027755,1700,6,3,1178787.81,35,86
3000028221,300,6,2,764619.12,36,89
3000028247,1700,6,1,254873.03999999998,37,91
3000028443,6103,6,2,812407.815,38,92
3000028628,1700,6,1,424788.39999999997,39,94
3000028997,6103,6,2,907985.205,40,95
3000030128,6103,6,4,297351.88,41,97
3000031434,1700,6,1,157065.5109,42,101
3000031977,6103,6,2,955773.8999999999,43,102
3000032354,1700,6,2,1380562.3,44,104
3000035618,6103,6,2,367972.95149999997,45,106
3000036102,300,6,2,455585.559,46,108
3000036389,1700,6,2,2767496.426,47,110
3000037021,6103,6,4,497002.42799999996,48,112
3000037037,300,6,2,513038.19009999995,49,116
3000037238,6103,6,2,5023122.83,50,118
3000037422,300,6,1,254873.03999999998,51,120
3000037577,1700,6,3,817717.6699999999,52,121
3000038996,1700,6,6,379123.647,53,124
3000039599,300,6,1,241067.417,54,130
3000040104,6103,6,3,1507998.8199999998,55,131
3000040740,300,6,1,482347.22819999995,56,134
3000042095,300,6,4,350450.43,57,135
3000043391,1700,6,1,864444.394,58,139
3000045742,300,6,1,1166044.158,59,140
3000046127,6103,6,4,392929.26999999996,60,141
3000046237,1700,6,3,977098.2776799999,61,145
3000047485,300,6,1,106197.09999999999,62,148
3000047661,1700,6,3,367441.96599999996,63,149
3000048298,6103,6,2,666917.788,64,152
3000048587,300,6,2,843204.9739999999,65,154
3000049379,6103,6,2,1004624.566,66,156
3000050532,300,6,2,787982.482,67,158
3000051780,1700,6,3,584084.0499999999,68,160
3000051849,6103,6,2,1837209.8299999998,69,163
3000052582,300,6,4,509746.07999999996,70,165
3000054365,300,6,1,591517.847,71,169
3000055105,300,6,2,284608.228,72,170
3000055242,6103,6,5,440717.96499999997,73,172
3000056152,1700,6,2,1834023.917,74,177
3000056281,300,6,1,293103.996,75,179
3000056358,1700,6,1,223013.91,76,180
3000056733,1700,6,2,334520.865,77,181
3000056768,300,6,1,254873.03999999998,78,183
3000057142,1700,6,1,467267.24,79,184
3000057208,300,6,1,293210.1931,80,185
3000057363,300,6,2,4831968.05,81,186
3000057437,6103,6,5,2876879.439,82,188
3000057496,300,6,2,1563221.312,83,193
3000058134,300,6,3,865506.365,84,195
3000058920,300,6,3,545853.0939999999,85,198
3000059111,300,6,1,199650.54799999998,86,201
3000059371,300,6,1,1274365.2,87,202
3000060000,6103,6,1,163543.53399999999,88,203
3000060928,300,6,2,953649.958,89,204
3000061208,300,6,2,632934.716,90,206
3000061888,300,6,2,608509.383,91,208
3000062094,300,6,1,267616.692,92,210
3000062316,300,6,1,269740.63399999996,93,211
3000063660,1700,6,3,382309.56,94,212
3000063848,1700,6,2,696652.976,95,215
3000064152,300,6,1,543729.152,96,217
3000066675,300,6,4,2363310.2634,97,218
3000069054,300,6,1,467267.24,98,222
3000069226,1700,6,1,220889.968,99,223
3000070430,1700,6,2,596827.7019999999,100,224
3000070567,1700,6,2,4041330.6404999997,101,226
3000070791,1700,6,3,424788.39999999997,102,228
3000071357,6103,6,6,516117.90599999996,103,231
3000071890,6103,6,1,248501.21399999998,104,237
3000072212,1700,6,2,503268.05689999997,105,238
3000072356,300,6,2,732759.99,106,240
3000073283,1700,6,7,2054170.5052999998,107,242
3000073391,300,6,3,1261833.9422,108,249
3000073874,300,6,5,268678.663,109,252
3000073965,6103,6,2,636651.6145,110,257
3000075011,1700,6,2,1301976.446,111,259
3000076308,1700,6,2,722140.2799999999,112,261
3000078095,300,6,1,743379.7,113,263
3000081259,6103,6,1,722140.2799999999,114,264
3000082165,6103,6,2,1152238.535,115,265
3000083270,300,6,2,534171.413,116,267
3000083705,300,6,4,530985.5,117,269
3000084424,1700,6,1,434346.13899999997,118,273
3000085036,1700,6,2,1400739.7489999998,119,274
3000086676,1700,6,2,765681.091,120,276
3000087369,6103,6,2,2761124.6,121,278
3000088488,6103,6,4,1168168.0999999999,122,280
3000089139,1700,6,2,357884.227,123,284
3000090672,1700,6,4,2189784.202,124,286
3000091265,1700,6,5,783734.598,125,290
3000091396,1700,6,1,4470897.91,126,295
3000093555,300,6,1,358946.198,127,296
3000094213,300,6,2,923914.7699999999,128,297
3000094434,300,6,2,468329.21099999995,129,299
3000095014,300,6,2,1306224.3299999998,130,301
3000095268,1700,6,3,1168168.0999999999,131,303
3000095383,1700,6,2,2123942,132,306
3000095690,6103,6,2,3882034.9905,133,308
3000095926,1700,6,1,150799.88199999998,134,310
3000097573,6103,6,2,584084.0499999999,135,311
3000098167,6103,6,3,1423041.14,136,313
3000098370,1700,6,2,544791.123,137,316
3000098508,1700,6,2,1234010.302,138,318
3000098899,300,6,2,387300.8237,139,320
3000099944,1700,6,2,647802.3099999999,140,322
3000100923,6103,6,1,615943.1799999999,141,324
3000101227,1700,6,3,2030488.552,142,325
3000104044,1700,6,3,1191531.462,143,328
3000107235,300,6,1,392929.26999999996,144,331
3000107834,300,6,6,785858.5399999999,145,332
3000109465,300,6,2,3224143.956,146,338
3000110735,1700,6,1,744123.0797,147,340
3000111303,300,6,1,326025.097,148,341
