AGE,ENROLL,ESR,HOURS,HHID
22,3,1,37,0
22,1,1,40,0
26,1,1,50,1
25,1,1,40,1
1,0,0,0,1
0,0,0,0,1
53,1,1,50,2
53,1,1,45,2
46,1,1,40,3
57,1,1,40,4
57,1,1,40,4
22,2,1,40,4
52,1,1,45,5
48,1,1,40,5
18,2,1,10,5
53,1,1,40,6
58,1,1,50,7
54,1,1,30,7
23,1,1,40,7
21,1,1,40,7
80,1,6,0,8
50,1,1,60,9
40,1,6,0,9
16,2,6,0,9
14,2,0,0,9
70,1,6,0,10
59,1,1,40,11
58,1,6,0,11
65,1,1,40,12
61,1,1,40,12
52,1,1,40,13
41,1,1,40,13
17,2,3,0,13
15,2,0,0,13
44,1,1,30,14
26,1,1,40,14
26,1,3,45,14
68,1,6,60,15
66,1,6,0,15
69,1,1,28,16
42,1,1,40,17
41,1,1,40,17
6,2,0,0,17
6,2,0,0,17
35,1,1,40,18
30,1,1,40,18
78,1,1,20,19
74,1,6,0,19
31,1,1,40,20
27,1,6,0,20
8,2,0,0,20
6,2,0,0,20
5,1,0,0,20
61,1,6,0,21
58,1,6,0,21
75,1,6,0,22
61,1,6,0,22
37,1,1,32,23
37,1,1,45,23
56,1,6,0,24
53,1,1,40,24
53,1,1,30,25
46,1,1,40,25
19,2,3,40,25
17,2,6,16,25
37,1,1,40,26
30,1,6,0,26
0,0,0,0,26
55,1,1,40,27
50,1,1,40,27
28,1,1,15,27
10,2,0,0,27
53,1,3,50,28
84,1,6,0,29
82,2,6,0,30
55,1,3,0,30
29,1,3,0,30
37,1,6,20,31
37,1,1,55,31
6,2,0,0,31
3,1,0,0,31
65,1,6,0,32
63,1,1,44,32
57,1,1,60,33
54,1,1,36,33
56,1,6,0,34
51,1,1,50,35
51,1,1,34,35
15,2,0,0,35
42,1,1,40,36
13,2,0,0,36
42,1,1,40,37
69,1,6,0,38
61,1,1,65,38
50,1,1,40,39
75,1,6,0,40
62,1,1,40,40
35,1,1,40,41
10,2,0,0,41
5,2,0,0,41
3,3,0,0,41
87,1,6,0,42
64,1,1,60,43
61,1,1,40,43
56,1,1,40,44
56,1,3,0,44
77,1,6,0,45
66,1,6,0,45
55,1,6,0,46
51,1,6,0,46
41,1,1,50,47
40,1,1,50,47
34,1,1,45,48
33,1,6,0,48
1,0,0,0,48
0,0,0,0,48
73,1,1,6,49
52,1,3,0,49
60,1,1,49,50
60,1,1,40,50
48,1,1,39,51
57,1,1,40,52
52,1,6,0,52
19,1,1,8,52
44,1,1,40,53
43,1,3,0,53
17,3,1,12,53
15,2,0,0,53
13,2,0,0,53
11,2,0,0,53
67,1,6,0,54
56,1,1,45,55
51,1,1,8,55
17,2,6,0,55
69,1,6,21,56
51,1,3,0,57
47,1,1,40,57
9,2,0,0,57
9,2,0,0,57
76,1,6,0,58
78,1,6,0,59
45,1,1,8,60
18,2,1,20,60
14,3,0,0,60
11,3,0,0,60
65,1,6,0,61
61,1,1,50,61
32,1,6,0,61
26,3,6,0,62
56,1,1,50,63
54,1,1,20,63
20,1,3,0,63
56,1,6,0,64
50,1,6,0,64
66,1,6,0,65
65,1,6,20,65
67,1,6,0,66
65,1,1,1,66
84,1,6,0,67
36,1,6,5,67
39,1,1,30,68
31,1,1,40,68
5,2,0,0,68
68,1,6,3,69
63,1,6,0,69
32,1,1,48,70
31,1,6,0,70
4,2,0,0,70
1,0,0,0,70
63,1,1,50,71
86,1,6,0,72
82,1,6,0,72
77,1,6,0,73
65,1,6,0,73
53,1,1,35,73
20,2,6,0,73
14,2,0,0,73
72,1,6,0,74
65,1,1,50,74
84,1,6,0,75
67,2,6,0,76
59,1,6,0,77
59,1,6,0,77
56,1,1,40,78
44,1,1,50,79
69,1,1,16,80
35,1,1,40,81
32,1,1,40,81
59,1,1,80,82
49,1,1,30,82
24,1,1,50,82
21,1,1,50,82
17,3,1,4,82
70,1,6,0,83
69,1,6,0,83
64,1,1,40,84
55,1,6,0,84
25,1,1,40,84
49,1,6,0,85
25,1,1,32,85
23,1,3,32,85
81,1,1,15,86
60,1,1,48,87
63,1,6,20,88
67,1,1,40,89
58,1,6,18,89
94,1,6,0,90
64,1,1,48,90
75,1,6,0,91
70,1,6,0,91
65,1,6,0,92
88,1,1,17,93
52,1,3,20,94
39,1,1,40,94
10,2,0,0,94
69,1,1,40,95
58,1,6,0,95
78,1,6,0,96
59,1,1,45,97
57,1,1,40,97
23,1,3,5,97
21,2,6,8,97
29,1,1,50,98
67,1,3,0,99
73,1,1,40,100
65,1,6,0,100
71,1,6,28,101
69,1,6,0,101
54,1,1,40,102
53,1,6,0,102
12,2,0,0,102
76,1,6,0,103
37,1,1,40,103
32,1,1,25,103
9,2,0,0,103
2,0,0,0,103
1,0,0,0,103
94,1,6,0,104
74,1,6,0,105
67,1,6,0,105
51,1,1,45,106
25,1,3,0,106
70,1,1,25,107
65,1,1,40,107
44,1,1,40,107
37,1,1,40,107
29,1,1,40,107
7,2,0,0,107
6,2,0,0,107
85,1,6,0,108
81,1,6,0,108
59,1,1,40,108
44,1,3,65,109
38,1,1,20,109
12,2,0,0,109
10,2,0,0,109
8,2,0,0,109
58,1,6,0,110
49,1,1,10,110
60,1,1,40,111
59,1,1,45,111
58,1,6,0,112
54,1,6,0,112
47,1,1,40,113
58,2,1,50,114
61,1,1,50,115
60,1,1,20,115
71,1,6,0,116
55,1,6,0,116
35,1,1,50,117
35,1,6,0,117
13,2,0,0,117
9,2,0,0,117
83,1,6,0,118
59,1,1,40,119
58,1,1,25,119
76,1,6,0,120
71,1,6,0,120
53,1,1,40,121
51,1,1,40,121
41,1,1,40,122
41,1,1,45,122
8,3,0,0,122
5,2,0,0,122
57,1,1,15,123
56,1,3,30,123
45,1,1,5,124
43,1,1,60,124
16,2,6,0,124
13,2,0,0,124
50,1,1,40,125
49,1,1,15,125
20,2,1,16,125
13,2,0,0,125
