SERIALNO,PUMA5,STATE,PERSONS,HINC,HHID,FIRSTPERSONID
3000003872,200,32,1,106197.09999999999,0,0
3000005588,200,32,1,1433660.8499999999,1,1
3000006166,200,32,2,1103387.869,2,2
3000007282,200,32,2,1981637.886,3,4
3000007618,200,32,3,260182.895,4,6
3000007909,102,32,2,95577.39,5,9
3000008787,102,32,1,595659.5338999999,6,11
3000012044,200,32,4,1592956.5,7,12
3000013504,102,32,4,753999.4099999999,8,16
3000013923,102,32,1,317529.32899999997,9,20
3000015384,102,32,2,951526.016,10,21
3000015683,200,32,1,849576.7999999999,11,23
3000016885,200,32,4,999314.711,12,24
3000018257,102,32,2,254873.03999999998,13,28
3000018314,102,32,4,795416.279,14,30
3000022276,200,32,4,602137.557,15,34
3000027406,200,32,3,531027.97884,16,38
3000027532,200,32,2,1255249.7219999998,17,41
3000028191,200,32,4,413106.719,18,43
3000029119,102,32,4,4247884,19,47
3000031139,102,32,4,1168168.0999999999,20,51
3000031665,200,32,1,224075.881,21,55
3000031670,200,32,3,0,22,56
3000031941,102,32,2,284289.6367,23,59
3000032245,200,32,1,159295.65,24,61
3000033331,102,32,4,1773491.5699999998,25,62
3000033469,200,32,5,491692.573,26,66
3000035361,102,32,4,1892432.322,27,71
3000039689,102,32,1,214518.142,28,75
3000040699,200,32,2,1825528.149,29,76
3000041212,200,32,3,1168168.0999999999,30,78
3000042383,200,32,1,0,31,81
3000043817,200,32,1,210270.258,32,82
3000045320,200,32,3,697714.9469999999,33,83
3000047285,102,32,4,9557.739,34,86
3000047451,200,32,3,1539857.95,35,90
3000050434,102,32,3,1518618.53,36,93
3000051604,102,32,1,193384.9191,37,96
3000052126,200,32,2,158233.679,38,97
3000052743,200,32,2,541605.21,39,99
3000053927,200,32,1,371689.85,40,101
3000055458,200,32,2,40354.898,41,102
3000056332,200,32,2,372751.821,42,104
3000058492,200,32,5,801788.105,43,106
3000059947,102,32,4,5076221.38,44,111
3000060388,200,32,2,254873.03999999998,45,115
3000063369,102,32,2,503374.25399999996,46,117
3000065753,200,32,2,828337.38,47,119
3000066115,102,32,4,2357575.62,48,121
3000066956,200,32,5,396539.9714,49,125
3000069579,102,32,3,998252.74,50,130
3000070605,200,32,1,0,51,133
3000073046,200,32,2,347264.517,52,134
3000073047,200,32,2,425850.371,53,136
3000073403,102,32,2,1030855.2496999999,54,138
3000073741,200,32,3,591517.847,55,140
3000078775,200,32,8,318591.3,56,143
3000079356,200,32,5,855948.6259999999,57,151
3000080658,200,32,2,1032235.8119999999,58,156
3000080712,200,32,1,497002.42799999996,59,158
3000080845,102,32,1,584402.6413,60,159
3000081541,200,32,2,2130313.826,61,160
3000084104,200,32,1,254873.03999999998,62,162
3000084160,102,32,2,785858.5399999999,63,163
3000084331,200,32,1,310095.532,64,165
3000084415,200,32,3,1158397.9668,65,166
3000084611,200,32,4,1372066.532,66,169
3000084864,200,32,2,1533486.1239999998,67,173
3000086353,200,32,3,690281.15,68,175
3000088131,102,32,2,610633.325,69,178
3000089609,102,32,3,1140567.47371,70,180
3000089702,102,32,2,1908361.8869999999,71,183
3000089810,102,32,1,488506.66,72,185
3000090003,200,32,2,509756.69970999996,73,186
3000091742,200,32,1,390805.328,74,188
3000093475,200,32,2,588331.934,75,189
3000094824,200,32,2,650988.223,76,191
3000095889,200,32,2,215580.11299999998,77,193
3000098114,200,32,3,1741632.44,78,195
3000099411,102,32,2,1911547.7999999998,79,198
3000101051,200,32,2,265492.75,80,200
3000102162,102,32,3,1014182.3049999999,81,202
3000102296,200,32,4,385495.473,82,205
3000103113,200,32,2,486382.718,83,209
3000104832,102,32,1,658634.4142,84,211
3000105479,200,32,2,1824466.1779999998,85,212
3000105525,102,32,2,307971.58999999997,86,214
3000108178,200,32,2,403548.98,87,216
3000108648,200,32,4,275793.8687,88,218
3000109360,200,32,5,699838.889,89,222
3000111499,102,32,1,955773.8999999999,90,227
3000111923,102,32,2,2941659.67,91,228
3000112049,102,32,2,318591.3,92,230
3000115512,200,32,1,241598.4025,93,232
3000116285,200,32,2,789044.453,94,233
3000117016,200,32,2,624438.948,95,235
3000117216,200,32,2,1108697.724,96,237
3000117808,200,32,1,541605.21,97,239
3000117909,102,32,4,1401801.72,98,240
3000119335,200,32,2,899914.2254,99,244
3000119347,200,32,1,203898.432,100,246
3000119353,200,32,2,249563.185,101,247
3000121135,200,32,1,138056.22999999998,102,249
3000121143,200,32,4,522489.73199999996,103,250
3000122361,102,32,4,1072590.71,104,254
3000122505,102,32,2,533852.8217,105,258
3000122918,200,32,1,716299.4395,106,260
3000122943,102,32,4,977013.32,107,261
3000123328,102,32,1,1380562.3,108,265
3000123881,102,32,3,1255249.7219999998,109,266
3000125314,102,32,2,452399.646,110,269
3000126781,200,32,2,1019492.1599999999,111,271
3000130225,200,32,1,3309101.636,112,273
3000131180,200,32,2,1116556.3094,113,274
3000135027,200,32,3,433284.168,114,276
3000135562,200,32,1,854886.6549999999,115,279
3000138966,102,32,3,476824.979,116,280
3000138988,200,32,4,201774.49,117,283
3000139060,200,32,1,169915.36,118,287
3000139151,200,32,1,424788.39999999997,119,288
3000139365,200,32,2,3228391.84,120,289
3000142419,102,32,3,1189407.52,121,291
3000143450,102,32,2,1338083.46,122,294
3000144741,200,32,2,258483.7414,123,296
3000144885,200,32,4,371689.85,124,298
3000147013,200,32,5,1274365.2,125,302
3000150582,102,32,3,1029049.899,126,307
3000152913,200,32,6,1423572.1254999998,127,310
3000154031,200,32,2,862320.4519999999,128,316
3000154450,200,32,2,868692.2779999999,129,318
3000155556,200,32,2,3408926.9099999997,130,320
3000156206,102,32,2,712688.7381,131,322
3000156443,200,32,3,843204.9739999999,132,324
3000156640,200,32,1,749751.526,133,327
3000157316,102,32,2,173101.273,134,328
3000158945,200,32,7,227261.794,135,330
3000159038,200,32,4,1178787.81,136,337
3000159744,102,32,1,38230.956,137,341
3000162160,102,32,3,1518618.53,138,342
3000165443,102,32,2,796478.25,139,345
3000166069,200,32,2,4152306.61,140,347
3000166275,102,32,4,1735515.48704,141,349
3000167647,102,32,1,237881.504,142,353
3000169047,102,32,6,817717.6699999999,143,354
3000169994,200,32,1,552224.9199999999,144,360
3000171864,102,32,2,781610.656,145,361
3000174465,200,32,1,726388.164,146,363
3000177378,102,32,2,584084.0499999999,147,364
3000179041,200,32,3,731698.019,148,366
3000179739,102,32,5,1433660.8499999999,149,369
3000182369,102,32,3,225137.85199999998,150,374
3000182852,102,32,3,3398307.1999999997,151,377
3000183536,102,32,2,4109827.77,152,380
3000185744,102,32,2,1450652.386,153,382
3000186145,102,32,3,854886.6549999999,154,384
3000186589,200,32,2,118940.752,155,387
3000187676,200,32,1,199650.54799999998,156,389
3000188712,200,32,3,335370.4418,157,390
3000191088,200,32,3,90161.3379,158,393
3000194338,200,32,3,1168168.0999999999,159,396
3000194569,200,32,3,928162.654,160,399
3000195108,200,32,1,573464.34,161,402
3000196708,200,32,2,140180.172,162,403
3000199834,102,32,3,299475.822,163,405
3000201148,102,32,4,807097.96,164,408
3000201880,102,32,3,2306070.0264999997,165,412
3000204560,200,32,1,191154.78,166,415
3000205599,200,32,1,496683.8367,167,416
3000206014,102,32,2,1242506.0699999998,168,417
3000206069,200,32,1,362132.111,169,419
3000206577,200,32,2,749751.526,170,420
3000206851,102,32,6,500188.34099999996,171,422
3000207535,200,32,2,267616.692,172,428
3000209469,102,32,4,1529238.24,173,430
3000213444,102,32,2,796478.25,174,434
3000216034,200,32,2,977013.32,175,436
3000216450,200,32,2,576650.253,176,438
3000216591,102,32,2,341529.8736,177,440
3000217032,200,32,1,143366.085,178,442
3000221389,200,32,1,212394.19999999998,179,443
3000221821,200,32,2,602137.557,180,444
3000222264,200,32,2,477886.94999999995,181,446
3000222564,200,32,2,1369942.5899999999,182,448
3000223204,200,32,4,249563.185,183,450
3000226982,200,32,2,792230.3659999999,184,454
3000227828,102,32,4,305847.648,185,456
3000228038,102,32,1,299475.822,186,460
3000228175,200,32,1,509746.07999999996,187,461
3000230297,102,32,2,1231886.3599999999,188,462
3000230299,200,32,1,233633.62,189,464
3000231007,200,32,2,817760.1488399999,190,465
3000231465,200,32,1,164605.505,191,467
3000233110,200,32,2,1030111.87,192,468
3000235256,200,32,3,1125689.26,193,470
3000236756,102,32,3,1051351.29,194,473
3000238209,102,32,3,642492.455,195,476
3000239621,102,32,3,1521379.6546,196,479
3000240350,200,32,4,892055.64,197,482
3000240522,200,32,1,553286.891,198,486
3000241452,200,32,2,538419.297,199,487
3000241611,102,32,4,490630.60199999996,200,489
3000242872,200,32,4,1391182.01,201,493
3000243840,200,32,2,229385.736,202,497
3000244445,102,32,4,1093830.13,203,499
3000246214,102,32,2,4775683.586999999,204,503
3000248150,200,32,2,545853.0939999999,205,505
3000248642,102,32,2,828337.38,206,507
3000248702,200,32,1,371689.85,207,509
3000249049,102,32,2,700900.86,208,510
3000253502,200,32,5,1741632.44,209,512
3000254707,200,32,2,987633.0299999999,210,517
3000256258,102,32,3,718954.367,211,519
3000257919,200,32,2,400363.067,212,522
3000259102,102,32,1,361070.13999999996,213,524
3000260934,102,32,3,963313.8940999999,214,525
3000261668,200,32,1,637182.6,215,528
3000262247,102,32,3,1680038.122,216,529
3000262672,200,32,3,198588.577,217,532
3000263329,200,32,2,573464.34,218,535
3000264827,102,32,1,125312.578,219,537
3000265273,200,32,2,150799.88199999998,220,538
3000266059,200,32,5,845328.916,221,540
3000266177,102,32,2,395053.212,222,545
3000267994,200,32,6,233633.62,223,547
3000268690,102,32,4,3005377.9299999997,224,553
3000273582,200,32,3,286732.17,225,557
3000274593,102,32,3,849576.7999999999,226,560
3000275019,102,32,1,301599.76399999997,227,563
3000275565,200,32,3,934534.48,228,564
3000277772,200,32,1,927100.683,229,567
3000279792,200,32,2,84957.68,230,568
3000280602,102,32,1,161419.592,231,570
3000281001,200,32,1,90267.53499999999,232,571
3000283090,200,32,2,573464.34,233,572
3000283159,200,32,1,371689.85,234,574
3000283729,102,32,1,371689.85,235,575
3000284875,102,32,1,433284.168,236,576
3000285793,200,32,1,127436.51999999999,237,577
3000287064,102,32,4,917542.944,238,578
3000288797,200,32,2,584084.0499999999,239,582
3000289429,200,32,3,1497379.1099999999,240,584
3000289663,200,32,4,813469.786,241,587
3000290999,200,32,2,606385.441,242,591
3000291158,200,32,3,352574.372,243,593
3000292430,200,32,1,711520.57,244,596
3000296081,102,32,2,8517007.42,245,597
3000297229,200,32,1,244253.33,246,599
3000297513,102,32,4,1043917.4929999999,247,600
3000297570,200,32,1,477886.94999999995,248,604
3000298400,102,32,3,436470.081,249,605
3000299039,200,32,4,455904.1503,250,608
3000302841,102,32,3,435408.11,251,612
3000302843,200,32,2,441779.936,252,615
3000302998,200,32,5,743379.7,253,617
3000305889,200,32,3,905861.2629999999,254,622
3000305949,200,32,2,278236.402,255,625
3000307693,102,32,1,3185.913,256,627
3000308569,200,32,3,764619.12,257,628
3000309263,102,32,4,382309.56,258,631
3000309399,102,32,1,690281.15,259,635
3000311811,200,32,2,955816.3788399999,260,636
3000314281,200,32,1,460364.4285,261,638
3000315743,102,32,3,1518618.53,262,639
3000316875,200,32,2,881435.9299999999,263,642
3000317546,200,32,2,1114007.579,264,644
3000320243,200,32,2,732759.99,265,646
3000320620,200,32,2,783734.598,266,648
3000323005,200,32,2,175225.215,267,650
3000323815,200,32,2,843204.9739999999,268,652
3000325398,102,32,1,124250.60699999999,269,654
3000325896,200,32,2,509746.07999999996,270,655
3000326126,102,32,2,876126.075,271,657
3000326564,102,32,2,1550477.66,272,659
3000326767,200,32,1,127436.51999999999,273,661
3000328769,200,32,2,753999.4099999999,274,662
3000329059,102,32,2,2548730.4,275,664
3000329319,102,32,3,481072.86299999995,276,666
3000330074,200,32,4,1024802.0149999999,277,669
3000330727,102,32,2,1758623.976,278,673
3000334149,200,32,2,199650.54799999998,279,675
3000335730,102,32,2,2623068.37,280,677
3000336287,200,32,2,584084.0499999999,281,679
3000336835,200,32,1,106197.09999999999,282,681
3000337486,200,32,4,752937.439,283,682
3000337520,200,32,2,400363.067,284,686
3000339053,200,32,4,415230.66099999996,285,688
3000340975,200,32,2,909259.5702,286,692
3000344483,200,32,2,934534.48,287,694
3000345499,200,32,2,1363570.764,288,696
3000346085,102,32,2,551162.949,289,698
3000351056,102,32,2,1273303.229,290,700
3000358943,102,32,2,967455.581,291,702
3000360998,200,32,4,1931725.2489999998,292,704
3000362840,200,32,3,2123942,293,708
3000364390,200,32,3,838957.09,294,711
3000364485,200,32,2,1197903.288,295,714
3000364492,102,32,5,690281.15,296,716
3000365114,200,32,2,140180.172,297,721
3000365674,102,32,3,684971.2949999999,298,723
3000366160,200,32,1,112568.92599999999,299,726
3000367854,102,32,1,796478.25,300,727
3000370359,102,32,2,1421979.169,301,728
3000371623,102,32,1,96639.36099999999,302,730
3000372649,200,32,2,1069404.797,303,731
3000374712,200,32,2,585146.021,304,733
3000375119,102,32,2,1401801.72,305,735
3000376269,102,32,2,1132061.086,306,737
3000377264,102,32,1,336644.807,307,739
3000377569,200,32,1,2123.942,308,740
3000379176,200,32,2,1411359.459,309,741
3000379804,102,32,2,711520.57,310,743
3000382025,102,32,1,743379.7,311,745
3000384169,200,32,2,713644.512,312,746
3000384204,102,32,4,1536672.037,313,748
