AGE,ENROLL,ESR,HOURS,HHID
60,1,1,40,0
48,1,1,40,1
65,1,1,40,2
33,1,3,0,2
64,1,6,0,3
63,1,6,0,3
29,1,1,37,4
24,2,1,20,4
2,0,0,0,4
58,1,6,0,5
11,2,0,0,5
83,1,6,0,6
39,1,1,42,7
37,1,1,20,7
6,2,0,0,7
5,2,0,0,7
53,1,1,50,8
37,1,6,0,8
7,2,0,0,8
1,0,0,0,8
71,1,6,0,9
56,1,1,40,10
49,1,1,40,10
45,1,1,50,11
81,1,6,0,12
59,1,1,55,12
36,1,1,36,12
9,2,0,0,12
82,1,6,0,13
78,1,6,0,13
80,1,6,0,14
74,1,6,0,14
42,1,6,0,14
18,1,6,0,14
31,1,1,60,15
27,1,1,35,15
8,2,0,0,15
6,2,0,0,15
33,1,1,40,16
29,1,6,0,16
7,2,0,0,16
56,1,1,40,17
54,1,1,45,17
75,1,6,0,18
44,2,1,40,18
20,2,1,20,18
15,2,0,0,18
44,1,1,60,19
31,1,1,42,19
11,2,0,0,19
7,2,0,0,19
42,1,1,80,20
34,1,6,0,20
5,1,0,0,20
1,0,0,0,20
58,1,1,40,21
50,1,6,0,22
50,1,3,0,22
7,3,0,0,22
77,1,6,0,23
75,1,6,0,23
24,1,1,40,24
47,2,1,55,25
43,2,1,40,25
17,2,6,21,25
11,2,0,0,25
74,1,6,0,26
68,1,6,0,26
50,1,6,0,26
20,1,3,0,26
20,1,1,25,26
55,1,1,40,27
54,1,1,25,27
20,2,1,20,27
17,2,6,0,27
62,1,6,0,28
63,1,1,40,29
58,1,1,40,29
40,1,1,30,30
39,1,1,50,30
2,0,0,0,30
21,2,3,0,31
41,1,6,0,32
32,1,1,70,33
32,1,1,30,33
7,2,0,0,33
37,1,3,0,34
30,1,6,0,34
1,0,0,0,34
0,0,0,0,34
54,1,1,40,35
49,1,1,40,35
24,2,3,0,35
48,1,1,40,36
48,1,1,48,36
15,2,0,0,36
77,1,6,0,37
62,1,6,0,38
57,1,1,7,38
56,1,1,40,39
22,2,1,40,39
51,1,1,40,40
69,1,6,0,41
54,1,6,0,41
67,1,6,0,42
55,1,6,0,42
44,1,1,40,43
42,1,1,12,43
13,3,0,0,43
11,3,0,0,43
4,1,0,0,43
58,1,1,60,44
54,1,1,80,44
53,2,1,40,44
16,2,1,8,44
64,1,6,0,45
63,1,6,8,45
25,1,1,40,46
25,1,1,40,46
28,1,1,40,47
26,1,1,40,47
55,1,1,32,48
54,1,1,40,48
16,2,6,0,48
16,2,6,4,48
41,1,6,40,49
29,1,1,40,49
17,2,6,0,49
16,2,6,0,49
7,2,0,0,49
47,1,1,40,50
40,1,1,40,50
6,2,0,0,50
51,1,3,0,51
79,1,6,0,52
53,1,1,20,52
59,1,1,40,53
55,1,1,40,53
86,1,6,0,54
52,1,1,40,54
76,1,1,20,55
75,1,6,0,55
47,1,2,20,55
49,1,1,36,56
26,1,3,0,56
8,2,0,0,56
6,2,0,0,56
5,2,0,0,56
4,2,0,0,56
2,0,0,0,56
1,0,0,0,56
65,1,6,24,57
31,1,1,40,57
30,2,1,35,57
8,2,0,0,57
4,3,0,0,57
69,1,6,0,58
63,1,1,35,58
43,1,1,50,59
56,1,1,40,60
60,1,1,40,61
58,1,1,40,61
76,1,6,0,62
24,1,1,40,63
23,2,1,18,63
69,1,6,0,64
55,1,1,42,65
50,1,3,0,65
13,2,0,0,65
52,1,1,70,66
49,1,2,40,66
15,2,0,0,66
13,2,0,0,66
86,1,6,0,67
85,1,6,0,67
24,1,1,45,68
23,3,6,0,68
2,0,0,0,68
77,1,6,0,69
76,1,6,0,69
72,1,6,0,70
67,1,6,0,70
25,2,6,0,70
62,1,1,40,71
62,1,6,0,71
29,1,1,50,72
64,1,6,0,73
32,2,6,0,73
56,1,6,8,74
80,1,6,0,75
78,1,6,0,75
60,1,6,24,76
58,1,1,50,76
52,1,6,40,77
47,1,1,40,77
70,1,6,0,78
68,1,6,0,78
60,1,1,40,78
58,1,1,40,79
57,1,1,40,79
81,1,6,8,80
77,1,6,0,80
42,1,1,50,81
8,2,0,0,81
6,2,0,0,81
50,1,6,0,82
28,1,6,0,82
7,2,0,0,82
2,0,0,0,82
72,1,1,35,83
62,1,1,40,83
68,1,6,0,84
59,1,1,40,85
55,1,1,30,85
56,1,6,2,86
56,1,6,2,86
29,1,1,30,87
28,1,1,35,87
26,1,1,50,88
21,1,1,20,88
3,1,0,0,88
2,0,0,0,88
63,1,6,0,89
60,1,1,40,89
22,1,3,35,89
3,1,0,0,89
2,0,0,0,89
32,1,1,40,90
53,1,1,40,91
51,1,1,40,91
69,1,6,0,92
65,1,1,29,92
86,1,6,0,93
25,2,1,40,94
21,2,1,20,94
65,1,1,40,95
54,1,1,40,95
54,2,1,40,96
45,1,1,40,96
81,1,6,0,97
41,1,1,40,98
30,1,6,40,98
9,2,0,0,98
1,0,0,0,98
26,1,1,45,99
24,1,1,40,99
83,1,6,0,100
91,1,6,0,101
69,1,6,0,101
91,1,6,0,102
79,1,6,0,103
74,1,6,0,103
70,1,1,42,103
57,1,1,42,103
35,1,1,40,104
30,1,1,36,104
12,2,0,0,104
1,0,0,0,104
65,1,6,0,105
62,1,6,0,105
86,1,6,0,106
91,1,6,0,107
68,1,6,0,107
57,1,1,40,107
57,1,3,40,107
54,1,1,36,108
79,1,6,8,109
60,2,1,50,109
59,1,1,40,109
66,1,6,0,110
65,1,6,0,110
63,1,1,40,111
55,1,1,44,111
84,1,6,0,112
60,1,1,40,113
60,1,6,25,113
53,1,1,40,114
17,2,6,0,114
17,2,6,0,114
80,1,6,0,115
63,1,3,40,116
57,1,6,0,116
23,1,1,32,116
35,1,1,32,117
31,1,1,22,117
2,0,0,0,117
2,0,0,0,117
45,1,3,20,118
59,1,1,50,119
60,1,6,0,120
60,1,6,0,120
55,1,1,45,121
54,1,6,0,121
17,2,6,0,121
63,1,1,47,122
52,1,1,45,122
63,1,6,0,123
56,1,3,7,123
36,2,1,30,124
16,2,6,0,124
12,2,0,0,124
11,2,0,0,124
74,1,1,19,125
74,1,6,0,125
28,1,1,22,125
25,1,3,12,125
2,0,0,0,125
68,1,6,0,126
41,1,1,40,126
22,1,1,40,126
74,1,6,0,127
55,1,1,40,127
50,1,1,40,127
12,2,0,0,127
11,2,0,0,127
9,2,0,0,127
58,1,1,40,128
56,1,1,30,128
65,1,6,0,129
65,1,6,0,129
65,1,6,0,130
54,1,6,0,130
58,1,6,0,131
58,1,1,40,131
60,1,1,20,132
50,1,1,40,132
41,1,6,0,132
70,1,6,0,133
66,1,6,0,134
64,1,6,0,134
45,1,6,0,135
30,1,6,0,135
26,1,6,0,135
9,2,0,0,135
9,2,0,0,135
6,2,0,0,135
0,0,0,0,135
55,1,1,40,136
53,1,2,40,136
20,2,1,30,136
16,2,6,0,136
62,1,6,0,137
51,1,1,40,138
47,1,1,44,138
14,2,0,0,138
61,1,6,0,139
58,1,1,40,139
67,1,6,0,140
65,1,1,10,140
59,1,1,50,141
47,1,1,80,141
20,3,1,2,141
18,3,6,2,141
51,1,1,16,142
65,1,6,0,143
36,1,1,15,143
35,1,1,45,143
22,1,1,40,143
11,2,0,0,143
6,2,0,0,143
66,1,6,0,144
65,1,6,0,145
64,1,6,0,145
59,1,2,10,146
37,1,1,40,147
36,1,1,45,147
36,1,1,40,148
35,1,1,40,148
15,2,0,0,148
32,1,1,40,149
30,1,1,40,149
12,2,0,0,149
8,2,0,0,149
0,0,0,0,149
72,1,1,40,150
72,1,6,0,150
45,1,6,0,150
37,1,1,50,151
36,1,1,10,151
1,0,0,0,151
62,1,6,0,152
61,1,1,50,152
51,1,1,42,153
49,1,1,40,153
84,1,6,0,154
81,1,6,0,154
53,1,6,0,154
61,1,6,0,155
51,1,6,0,155
75,1,6,0,156
58,1,1,40,157
50,1,1,40,157
22,1,1,2,157
18,1,1,20,158
18,1,1,25,158
18,1,3,30,158
52,1,1,56,159
52,1,6,0,159
18,2,1,40,159
61,1,1,40,160
39,1,1,40,160
18,1,1,30,160
48,1,1,50,161
76,1,6,0,162
65,1,6,0,162
24,1,1,40,163
24,1,1,40,163
0,0,0,0,163
38,1,1,45,164
17,2,3,0,164
12,2,0,0,164
8,2,0,0,164
43,1,4,45,165
36,1,1,40,165
2,0,0,0,165
60,1,1,40,166
73,1,6,5,167
58,1,1,50,168
57,1,6,4,168
80,1,6,0,169
77,1,1,37,170
45,1,2,40,170
46,1,1,40,171
44,1,1,40,171
22,2,1,40,171
16,2,6,0,171
14,2,0,0,171
8,2,0,0,171
74,1,6,0,172
32,1,6,0,172
45,1,1,11,173
42,1,1,30,173
20,1,1,12,173
17,2,6,0,173
39,1,4,50,174
2,0,0,0,174
43,3,1,55,175
24,2,1,40,175
76,1,6,0,176
73,1,6,0,176
68,1,3,40,177
57,1,1,32,177
53,1,1,25,178
61,1,1,40,179
61,1,1,40,180
56,1,6,0,180
38,1,1,40,181
7,2,0,0,181
33,1,1,60,182
28,1,1,40,182
48,1,1,35,183
47,1,1,40,183
22,1,1,15,183
13,1,0,0,183
73,1,6,0,184
70,1,6,0,184
32,1,1,42,185
15,2,0,0,185
10,2,0,0,185
7,2,0,0,185
70,1,6,0,186
48,1,1,40,187
31,2,1,40,188
27,1,1,36,188
41,1,1,24,189
54,1,1,50,190
52,1,1,40,190
91,1,6,0,191
30,2,1,48,192
26,1,1,40,192
63,1,1,60,193
59,1,6,0,193
25,1,1,40,193
53,1,1,60,194
52,1,1,16,194
15,2,0,0,194
25,2,1,30,195
22,1,1,40,195
20,1,1,30,195
70,1,6,40,196
55,1,1,40,196
18,2,1,12,196
47,1,1,50,197
40,1,1,32,197
16,2,6,0,197
15,2,0,0,197
71,1,1,28,198
69,1,6,0,199
59,1,1,40,199
52,1,1,50,200
52,1,6,0,200
45,1,6,0,200
27,1,6,0,200
37,1,1,60,201
36,1,1,40,201
