id,persons,children,femaleAdult,stayType,season
10204,2,0,-1,2,1
10247,2,0,-1,2,1
10257,3,0,-1,2,1
40062,2,0,-1,2,1
40068,3,0,-1,2,1
50067,2,0,-1,2,1
50135,1,0,-1,2,1
50137,3,0,-1,2,1
50138,2,0,-1,2,1
50141,1,0,-1,2,1
50162,1,0,-1,2,1
50164,3,0,-1,2,1
50165,2,0,-1,2,1
50166,1,0,-1,2,1
50167,1,0,-1,2,1
50168,1,0,-1,2,1
50172,2,0,-1,2,1
50173,2,0,-1,2,1
50175,2,0,-1,2,1
50177,2,0,-1,2,1
50178,2,0,-1,2,1
60062,2,0,-1,2,1
200088,1,0,-1,2,1
200089,2,0,-1,2,1
200090,1,0,-1,2,1
200093,2,0,-1,2,1
200109,1,0,-1,2,1
300092,3,0,-1,2,1
10121,4,0,-1,2,1
300149,3,0,-1,2,1
60196,2,0,-1,2,1
60082,1,0,-1,2,1
60200,2,0,-1,2,1
300071,2,0,-1,2,1
10052,1,0,-1,2,1
10055,1,0,-1,2,1
10063,2,0,-1,2,1
10064,1,1,-1,2,1
10065,2,0,-1,2,1
10066,1,0,-1,2,1
10067,2,0,-1,2,1
10068,4,0,-1,2,1
10070,1,0,-1,2,1
10088,4,0,-1,2,1
10089,2,0,-1,2,1
10131,4,0,-1,2,1
10156,2,0,-1,2,1
10254,1,0,-1,2,1
40056,5,2,-1,2,1
40073,2,0,-1,2,1
40075,3,1,-1,2,1
40082,5,2,-1,2,1
40085,4,2,-1,2,1
40086,4,2,-1,2,1
40121,2,0,-1,2,1
50145,1,0,-1,2,1
60166,2,0,-1,2,1
60167,3,1,-1,2,1
200083,1,0,-1,2,1
200096,3,0,-1,2,1
200108,2,0,-1,2,1
300045,2,0,-1,2,1
300046,2,0,-1,2,1
300047,2,0,-1,2,1
300048,4,0,-1,2,1
300049,4,0,-1,2,1
300088,2,0,-1,2,1
10200,4,0,-1,2,1
40090,2,0,-1,2,1
60163,2,0,-1,2,1
300158,2,0,-1,2,1
40058,2,0,-1,2,1
300074,2,0,-1,2,1
40057,2,0,-1,2,1
40089,4,2,-1,2,1
50083,4,2,-1,2,1
40067,2,0,-1,2,1
40123,2,0,-1,2,1
60127,1,0,-1,2,1
60160,4,2,-1,2,1
300169,2,0,-1,2,1
40080,4,2,-1,2,1
40094,6,2,-1,2,1
60153,2,0,-1,2,1
50066,3,0,-1,2,1
10031,6,2,-1,2,1
10046,4,2,-1,2,1
10050,2,1,-1,2,1
10053,1,0,-1,2,1
10057,5,3,-1,2,1
10058,1,0,-1,2,1
