taz,census_tract,block_group,puma,county,county_code,state,state_code,full_census_code,area_in_sq_miles
1,1006,2,100,Washoe,31,NV,32,3.2031E+11,1
2,300,2,400,Carson City,510,NV,32,3.251E+11,1
3,200,3,400,Douglas,5,NV,32,3.2005E+11,1
4,10000,2,1800,Alpine,3,CA,6,60030100002,1
5,31403,1,1700,El Dorado,17,CA,6,60170314031,1
6,22001,6,1601,Placer,61,CA,6,60170220016,1
7,22001,5,1601,Placer,61,CA,6,60170220015,1
9,30101,1,1700,El Dorado,17,CA,6,60170301440,0.12
10,30101,1,1700,El Dorado,17,CA,6,60170301440,0.06
11,30102,1,1700,El Dorado,17,CA,6,60170301440,0.23
12,30102,2,1700,El Dorado,17,CA,6,60170301440,0.29
13,30102,4,1700,El Dorado,17,CA,6,60170301440,0.14
14,30102,5,1700,El Dorado,17,CA,6,60170301440,0.37
15,30102,4,1700,El Dorado,17,CA,6,60170301440,0.54
16,30102,4,1700,El Dorado,17,CA,6,60170301440,0.32
17,30102,4,1700,El Dorado,17,CA,6,60170301440,1.48
18,30200,3,1700,El Dorado,17,CA,6,60170301440,0.08
19,30200,1,1700,El Dorado,17,CA,6,60170301440,0.08
20,30200,1,1700,El Dorado,17,CA,6,60170301440,0.11
21,30200,1,1700,El Dorado,17,CA,6,60170301440,0.16
22,30200,3,1700,El Dorado,17,CA,6,60170301440,0.1
23,30200,4,1700,El Dorado,17,CA,6,60170301440,0.28
24,30200,5,1700,El Dorado,17,CA,6,60170301440,0.13
25,30200,6,1700,El Dorado,17,CA,6,60170301440,0.1
26,30200,6,1700,El Dorado,17,CA,6,60170301440,0.14
27,30200,1,1700,El Dorado,17,CA,6,60170301440,0.1
28,30200,1,1700,El Dorado,17,CA,6,60170301440,0.05
29,30200,1,1700,El Dorado,17,CA,6,60170301440,0.01
30,30200,3,1700,El Dorado,17,CA,6,60170301440,0.14
31,30200,1,1700,El Dorado,17,CA,6,60170301440,0.22
32,30200,1,1700,El Dorado,17,CA,6,60170301440,0.25
33,30200,3,1700,El Dorado,17,CA,6,60170301440,0.23
