taz,hotelmotel,resort,casino,campground,percentHouseSeasonal,beach
9,1164,266,0,0,0.792721818,924
10,0,1299,0,0,0.184512401,0
11,147,531,0,0,0.690019889,0
12,259,0,0,0,0.63964802,0
13,398,0,0,0,0.660834563,0
14,0,0,0,0,0.193706408,0
15,160,0,0,0,0.266197974,0
16,0,0,0,0,0.70749543,0
17,0,0,0,0,0,0
18,200,50,0,0,0.526586153,1633
19,0,360,0,0,0.806349248,414
20,0,0,0,0,0.87755102,2809
21,0,0,0,185,0.632593482,0
22,0,0,0,0,0,994
23,0,0,0,0,0.516129447,0
24,193,0,0,0,0.584029002,0
25,31,0,0,0,0.744765095,0
26,0,0,0,0,0.593984833,0
27,0,0,0,0,0,0
28,0,0,0,0,0,0
29,0,0,0,0,0,0
30,0,0,0,0,0,378
31,0,0,0,0,0,0
32,0,0,0,0,0,0
33,0,0,0,0,0.497222263,0
34,0,0,0,0,0.495077625,0
35,0,0,0,0,0.30943189,0
36,0,0,0,0,0,0
37,10,22,0,0,0.54999799,2652
38,15,0,0,0,0.828751086,0
39,26,0,0,0,0.7861043,0
40,0,0,0,0,0.594440834,0
41,62,0,0,0,0.466366055,0
42,28,0,0,0,0.541158596,0
43,32,0,0,0,0.607696978,0
44,0,0,0,0,0.522829785,444
45,0,0,0,0,0.664584243,0
46,31,0,0,0,0.846149741,0
47,0,0,0,0,0.844811912,0
48,143,0,0,0,0.650330494,0
49,38,0,0,0,0.733179873,0
50,38,0,0,0,0.535353535,0
51,0,0,0,0,0.885738039,0
52,0,0,0,0,0.878318431,0
53,0,0,0,0,0.720253984,0
54,16,0,0,0,0.635055252,0
55,0,0,0,0,0,0
56,0,0,0,0,0.760351562,0
57,0,0,0,0,0.869158879,0
58,0,0,0,0,0.776807292,0
59,14,0,0,0,0.861870159,0
60,79,0,0,96,0.730496454,0
61,23,0,0,0,0.730496454,0
62,0,0,0,0,0.563143921,0
63,0,0,0,0,0,0
64,0,0,0,0,0.945273632,72
65,0,0,0,0,0.688889336,0
66,0,0,0,0,0.64263433,0
67,0,0,0,0,0.551111243,0
68,0,0,0,0,0.715467573,0
69,0,0,0,0,0.278730389,0
70,0,0,0,0,0.634543216,0
71,0,0,0,0,0.23333358,0
72,0,0,0,0,0,0
73,0,0,0,0,0,0
74,0,0,0,0,0.945273632,163
75,0,0,0,0,0.733950803,0
76,0,0,0,0,0.562944321,5783
77,0,0,0,0,0.616263098,0
78,0,0,0,0,0.548992449,0
79,0,0,0,0,0.562626853,0
80,0,0,0,439,0.730496454,0
81,0,0,0,0,0,0
82,0,0,0,0,0.506507532,0
83,0,0,0,0,0.852903323,2006
84,0,0,0,0,0.945273632,0
85,0,0,0,0,0.772654618,0
86,0,0,0,0,0.817042364,0
87,0,0,0,15,0.857843222,1163
88,0,0,0,0,0.817042364,0
89,0,0,0,0,1,755
90,0,0,0,0,0.749475245,0
91,0,0,0,0,0.899179062,0
92,0,0,0,0,0.845019054,4253
93,0,0,0,0,0,0
94,0,0,0,0,0.817413361,0
95,0,0,0,0,0.729584542,0
96,0,0,0,0,0.810218978,138
97,0,0,0,0,0.622720688,0
98,0,0,0,0,0,4852
99,0,0,0,0,0,696
100,0,0,0,0,0.806207597,1370
101,0,0,0,0,0,1346
102,0,0,0,0,0.676192252,0
103,0,71,0,0,0.82741041,4491
104,0,0,0,300,0,3496
105,0,0,0,0,0,0
106,0,0,0,211,0,0
107,0,0,0,0,0.967647059,0
108,0,0,0,0,0.934752716,239
109,0,0,0,0,1,0
110,0,0,0,0,1,135
111,0,0,0,0,0.888120727,185
112,0,0,0,0,0,2428
113,0,0,0,26,0,2262
114,0,0,0,0,0.967647059,0
115,0,0,0,0,0.893801179,2285
116,0,0,0,119,0,2971
117,0,0,0,13,0.967647059,0
118,0,0,0,151,0.967647059,1542
119,0,0,0,0,0,0
120,0,0,0,0,0.898724238,0
121,0,0,0,0,0.893801179,0
122,0,0,0,0,0.901060605,1345
123,0,0,0,0,0,0
124,0,0,0,0,0.843133204,0
125,0,22,0,42,0.885596082,1600
126,0,0,0,0,0,17
127,0,0,0,0,0,0
128,0,0,0,175,0.880444856,1731
129,0,0,0,0,0.792237196,0
130,0,0,0,0,0.762896805,0
131,19,0,0,0,0.64393201,0
132,0,0,0,0,0.989352682,3716
133,30,0,0,0,0.902761081,0
134,0,0,0,0,0.762801964,0
135,0,0,0,0,0.979472141,2581
136,0,0,0,0,0.712020069,0
137,0,0,0,0,0.782511313,0
138,0,0,0,0,0.979472141,0
139,33,0,0,0,0.744642367,2807
140,0,0,0,0,0.979472141,0
141,9,0,0,0,0.722567139,0
142,0,0,0,0,0.754052362,0
143,0,0,0,10,0.813635715,2990
144,0,0,0,0,0.767554205,0
145,0,0,0,0,0,0
146,0,0,0,0,0,0
147,0,0,0,0,0.861533653,0
148,0,0,0,0,0.619473376,0
149,45,0,0,0,0.637307907,422
150,0,0,0,84,0,0
151,0,0,0,0,0.635700119,0
152,0,165,0,0,0.67876579,0
153,0,0,0,0,0.660000054,0
154,0,0,0,0,0.48398735,5177
155,46,0,0,0,0.074027697,8223
156,0,0,0,0,0,560
157,93,0,0,0,0.634915653,6376
158,0,0,0,0,0.935185185,179
159,24,0,0,26,0,5236
160,0,0,0,0,0.714440473,0
161,0,0,0,0,0.827795866,0
162,0,0,0,0,0.935185185,4319
163,0,0,0,0,0,0
164,0,0,0,0,0.543361233,0
165,0,0,0,20,0,5135
166,0,0,0,0,0.591259369,0
167,0,0,0,0,0.601871153,0
168,0,0,0,0,0.514651593,0
169,0,0,0,0,0.951934349,0
170,0,0,0,0,0.72914796,0
171,0,0,0,0,0.746399399,0
172,0,0,0,0,0,0
173,21,0,0,0,0.579995687,5198
174,0,0,0,0,0.687539833,0
175,0,0,0,0,0.544749846,0
176,10,0,0,0,0.663094111,0
177,0,0,0,0,0.602804637,4637
178,0,0,0,0,0.594053377,0
179,0,0,0,0,0.337959811,0
180,0,0,0,0,0.476238599,0
181,233,51,0,0,0.542904133,5449
182,55,0,0,0,0.617942092,9984
183,0,0,0,0,0.697958678,0
184,0,0,0,0,0.628456214,0
185,0,0,0,0,0,307
186,0,0,0,0,0.474968084,336
187,0,0,0,0,0,4304
188,0,0,0,0,0.568685273,0
189,75,75,0,0,0.156197906,10656
190,71,0,0,0,0.791957226,0
191,0,0,0,0,0.290475252,0
192,0,0,0,0,0.580252031,0
200,9,0,1279,0,0,0
201,0,154,0,0,0,0
202,0,0,950,0,0,0
203,0,0,0,0,0.75502008,0
204,64,0,0,0,0,0
205,0,0,0,0,0,329
206,0,0,123,0,0,544
207,0,0,0,0,0,394
208,0,0,0,0,0.594165311,0
209,106,0,0,0,0.0529852,0
210,65,604,0,0,0.021523603,0
211,50,0,0,0,0.263489327,0
212,0,0,0,0,0.517827454,0
213,0,0,0,0,0.51093232,0
214,0,0,0,0,0.888888889,0
215,0,0,0,0,0.464468512,0
216,0,0,0,0,0.096959198,68
217,0,0,0,0,0.888888889,0
218,0,0,0,58,0.888888889,845
219,110,0,0,0,0.703424353,433
220,0,0,0,0,0.545106182,0
221,0,0,0,0,0.410792044,0
222,0,0,0,0,0.888888889,0
223,0,0,0,0,0.795690976,0
224,0,32,0,0,0.676942724,7645
225,5,0,0,0,0.683369336,0
226,0,0,0,150,0,0
227,0,0,0,0,0,0
228,0,0,0,0,0,0
229,0,0,0,0,0.741717042,6892
230,0,0,0,0,0.796932825,0
231,0,0,0,0,0.755625017,0
232,0,0,0,0,0.68790813,6261
233,0,0,0,0,0.853697749,6234
234,0,0,0,0,0.853697749,0
235,0,0,0,0,0.853697749,0
236,0,0,0,0,0.853697749,0
237,0,0,0,0,0.853697749,0
238,0,0,0,0,0,0
239,0,0,0,0,0,0
240,0,0,0,0,0.690730081,0
241,0,0,0,0,0.853697749,0
242,0,0,0,0,0.65715683,0
243,0,0,0,0,0.853697749,0
244,0,0,0,0,0,7305
245,0,0,0,0,0.853697749,2565
246,0,0,0,0,0,0
247,0,0,0,0,0,0
248,0,0,0,0,0,0
249,0,0,0,0,0,2553
250,0,0,0,0,0,2643
251,0,0,0,0,0,0
252,0,0,0,0,0,0
253,0,0,0,0,0,0
254,0,0,0,0,0,0
255,0,0,0,0,0,3501
256,0,0,0,0,0,2711
257,0,0,0,0,0,0
258,0,0,0,0,0.879365079,3359
259,0,0,0,0,0.802222222,0
260,0,0,0,0,0.62688933,0
261,38,0,0,0,0.678428308,0
262,16,0,0,0,0.252771888,0
263,0,6,0,0,0,709
264,0,60,416,0,0.309123204,0
265,0,0,0,0,0.050859299,0
266,0,0,0,0,0.802222222,3187
267,0,0,0,0,0.541846325,0
268,0,0,0,0,0.126607075,0
269,21,0,0,0,0.594754842,0
270,0,0,0,0,0.585106563,9060
271,0,0,0,0,0.517025747,6321
272,0,0,0,0,0.33513588,0
273,0,93,0,0,0.654124748,4511
274,0,0,0,0,0.656167984,4448
275,0,0,0,0,0.553335834,468
276,0,0,0,0,0.392458178,0
277,0,0,0,0,0.610198972,0
278,0,0,0,0,0.665484678,0
279,0,0,0,0,0.488406355,0
280,0,0,0,0,0,0
281,0,0,0,0,0.48178615,0
282,0,0,0,0,0.643412865,0
283,0,0,0,0,0.880129136,0
284,0,0,0,0,0,0
285,0,0,0,0,0,0
286,0,0,0,0,0.634927088,3137
287,0,0,0,0,0.559779183,0
288,0,0,0,0,0.9543379,253
289,0,0,0,0,0.813158924,7410
290,0,0,0,0,0.308064814,0
291,0,0,0,0,0.689039926,0
292,0,0,0,0,0.819047619,0
293,0,0,0,0,0.683114041,0
294,0,0,0,0,0.612126505,0
295,0,0,104,0,0.652771724,0
296,19,0,0,0,0.785371488,0
297,0,0,0,0,0.819047619,0
