taz,hotelmotel,resort,casino,campground,percentHouseSeasonal,beach
9,2022,0,0,0,0.766666667,0
10,1190,0,0,0,0,0
11,333,0,0,0,0.75,0
12,0,0,0,0,0.752873563,0
13,793,0,0,0,0.75,0
14,6,0,0,0,0.75,0
15,0,180,0,0,0.75,0
16,0,0,0,0,0,0
17,0,0,0,0,0,0
18,478,0,0,0,0.756097561,470
19,361,0,0,0,0.75,168
20,0,0,0,112,0.769230769,338
21,0,0,0,0,0.75,0
22,0,0,0,0,0,0
23,0,0,0,0,0.75,0
24,0,0,0,0,0.754716981,0
25,0,0,0,0,0.756756757,0
26,0,0,0,0,0.75,0
27,0,0,0,0,1,0
28,0,0,0,0,0,0
29,0,0,0,0,0,0
30,0,0,0,0,0,0
31,0,0,0,0,0,0
32,0,0,0,0,0,0
33,0,0,0,0,0.727272727,0
34,0,0,0,0,0.755102041,0
35,0,0,0,0,0.755555556,0
36,0,0,0,0,0,0
37,50,0,0,0,0.75,378
38,17,0,0,0,0.747572816,0
39,25,0,0,0,0.747474747,0
40,0,0,0,0,0.764705882,0
41,89,0,0,0,0.753424658,0
42,37,0,0,0,0.75,0
43,30,0,0,0,0.75,0
44,0,0,0,0,0.748344371,0
45,0,0,0,0,0.751851852,0
46,85,0,0,0,0.766666667,0
47,0,0,0,0,0.753846154,0
48,140,0,0,0,0.75,0
49,39,0,0,0,0.739130435,0
50,87,0,0,0,0.666666667,0
51,0,0,0,0,0.785714286,0
52,0,0,0,0,0.736842105,0
53,0,0,0,0,0.755102041,0
54,29,0,0,0,0.75257732,0
55,0,0,0,0,0,0
56,0,0,0,0,0.75,0
57,0,0,0,0,0.666666667,0
58,0,0,0,0,0.75,0
59,32,0,0,0,0.753846154,0
60,124,0,0,0,0.764705882,0
61,22,0,0,0,1,0
62,0,0,0,0,0.769230769,0
63,0,0,0,0,0,0
64,0,0,0,0,0,0
65,0,0,0,0,0.758064516,0
66,0,0,0,0,0.761904762,0
67,0,0,0,0,0.75,0
68,0,0,0,0,0.761904762,0
69,0,0,0,0,0.777777778,0
70,0,0,0,0,0.740740741,0
71,0,0,0,0,0.8,0
72,0,0,0,0,0,0
73,0,0,0,0,0,0
74,0,0,0,0,0,25
75,16,0,0,0,0.753424658,0
76,0,0,0,0,0.744680851,0
77,0,0,0,0,0.75,0
78,0,0,0,0,0.75,0
79,0,0,0,0,0.754716981,0
80,0,0,0,231,0,0
81,0,0,0,0,0,0
82,0,0,0,0,1,0
83,0,0,0,0,0.8,63
84,0,0,0,0,0,0
85,0,0,0,0,0.785714286,0
86,0,0,0,0,0.75,0
87,0,0,0,0,0.75,0
88,0,0,0,0,0.75,0
89,0,0,0,0,0.666666667,221
90,0,0,0,0,0.75,0
91,0,0,0,0,0.75,0
92,0,0,0,126,0.755555556,0
93,0,0,0,74,1,0
94,0,0,0,0,0.75,0
95,0,0,0,0,0.75,0
96,0,0,0,0,1,0
97,0,0,0,0,0.758064516,0
98,0,0,0,0,0,0
99,0,0,0,0,1,0
100,0,0,0,0,0.75,0
101,0,0,0,0,0,0
102,0,0,0,0,0.75,0
103,0,45,0,126,0.769230769,2495
104,45,0,0,0,0,1378
105,0,0,0,133,0,0
106,0,0,0,155,0,0
107,0,0,0,0,0.75,0
108,0,0,0,108,0.746031746,271
109,0,0,0,0,0.8,0
110,0,0,0,0,0.75,158
111,0,0,0,0,0.777777778,0
112,0,0,0,0,0,1532
113,0,0,0,0,0,98
114,0,0,0,0,0.754716981,0
115,0,0,0,216,0.785714286,0
116,0,0,0,121,0,2668
117,0,0,0,10,0.75,756
118,0,0,0,172,0,133
119,0,0,0,0,0,0
120,0,0,0,0,0.833333333,0
121,0,0,0,0,0.8,0
122,0,0,0,0,0.75,0
123,0,0,0,0,0,0
124,0,0,0,0,0.75,0
125,0,0,0,40,0.772727273,941
126,0,0,0,0,0,105
127,0,0,0,0,0,0
128,0,0,0,165,1,247
129,0,0,0,0,0.741935484,0
130,0,0,0,0,0.751937984,0
131,20,0,0,0,0.743589744,0
132,0,0,0,0,0.75308642,0
133,62,0,0,0,0.8125,0
134,0,0,0,0,0.8,0
