taz,total_residential_units,census_occ_rate,total_occ_units,occ_units_low_inc,occ_units_med_inc,occ_units_high_inc,persons_per_occ_unit,total_persons,emp_retail,emp_srvc,emp_rec,emp_game,emp_other
109,335,0.305522,102.34987,67,36,0,1.587130428,162,0,0,0,0,0
110,2,0.305522,0.611044,0,0,0,1.587130428,1,0,0,0,0,0
111,282,0.305522,86.157204,56,30,0,1.587130428,137,0,0,0,0,0
112,1102,0.3819025,420.856555,244,100,78,2.879217379,1212,0,0,0,0,0
113,477,0.370991,176.962707,96,64,17,2.299304338,407,0,0,0,0,0
114,305,0.414637,126.464285,70,49,7,2.329826077,295,0,0,0,0,0
115,281,0.370991,104.248471,57,38,10,2.299304338,240,0,0,0,0,0
116,3,0.370991,1.112973,1,0,0,2.299304338,3,0,0,0,0,0
117,0,0,0,0,0,0,0,0,0,0,0,0,0
118,311,0.720159,223.969449,93,65,66,2.421391294,542,0,0,0,0,0
119,95,0.5564865,52.8662175,29,10,14,1.841478253,97,0,0,0,0,0
120,34,0.5564865,18.920541,10,3,5,1.841478253,35,0,0,0,0,0
121,405,0.5564865,225.3770325,124,41,60,1.841478253,415,0,0,0,0,0
122,0,0,0,0,0,0,0,0,0,0,0,0,0
123,567,0.720159,408.330153,170,118,120,2.421391294,989,0,0,0,0,0
124,359,0.698336,250.702624,195,20,35,3.326869551,834,0,0,0,0,0
125,299,0.741982,221.852618,118,57,47,2.869043466,637,0,0,0,0,0
126,291,0.741982,215.916762,115,55,45,2.869043466,619,0,0,0,0,0
127,0,0,0,0,0,0,0,0,0,0,0,0,0
128,0,0,0,0,0,0,0,0,0,0,0,0,0
129,0,0,0,0,0,0,0,0,0,0,0,0,0
130,0,0,0,0,0,0,0,0,0,0,0,0,0
131,0,0,0,0,0,0,0,0,0,0,0,0,0
132,0,0,0,0,0,0,0,0,0,0,0,0,0
133,117,0.720159,84.258603,35,24,25,2.421391294,204,0,0,0,0,0
134,373,0.741982,276.759286,148,71,58,2.869043466,794,0,0,0,0,0
135,127,0.5564865,70.6737855,39,13,19,1.841478253,130,0,0,0,0,0
136,0,0,0,0,0,0,0,0,0,0,0,0,0
137,394,0.5346635,210.657419,148,54,9,2.024608687,426,0,0,0,0,0
138,680,0.501929,341.31172,231,85,25,2.685913032,917,0,0,0,0,0
139,550,0.5128405,282.062275,156,42,84,2.126347817,600,0,0,0,0,0
140,148,0.567398,83.974904,60,6,18,2.156869556,181,0,0,0,0,0
141,370,0.567398,209.93726,150,16,44,2.156869556,453,0,0,0,0,0
142,965,0.458283,442.243095,322,79,41,3.031826074,1341,0,0,0,0,0
143,557,0.894743,498.371851,296,78,125,2.757130423,1374,0,0,0,0,0
144,275,0.327345,90.019875,46,6,39,2.74695651,247,0,0,0,0,0
145,717,0.327345,234.706365,119,15,101,2.74695651,645,0,0,0,0,0
146,261,0.501929,131.003469,53,44,34,1.953391296,256,0,0,0,0,0
147,621,0.501929,311.697909,126,104,81,1.953391296,609,0,0,0,0,0
148,513,0.589221,302.270373,135,26,141,2.553652163,772,0,0,0,0,0
149,279,0.43646,121.77234,72,7,43,2.044956513,249,0,0,0,0,0
150,63,0.6437785,40.5580455,31,3,7,2.573999989,104,0,0,0,0,0
151,123,0.501929,61.737267,25,21,16,1.953391296,121,0,0,0,0,0
152,165,0.501929,82.818285,33,28,22,1.953391296,162,0,0,0,0,0
153,358,0.327345,117.18951,59,7,50,2.74695651,322,0,0,0,0,0
154,668,0.65469,437.33292,249,112,77,2.167043469,948,0,0,0,0,0
155,0,0,0,0,0,0,0,0,0,0,0,0,0
156,346,0.65469,226.52274,129,58,40,2.167043469,491,0,0,0,0,0
157,38,0.65469,24.87822,14,6,4,2.167043469,54,0,0,0,0,0
158,387,0.65469,253.36503,175,53,25,2.614695641,662,0,0,0,0,0
159,558,0.5128405,286.164999,79,84,123,3.062347813,876,0,0,0,0,0
160,585,0.829274,485.12529,437,48,0,1.983913035,962,0,0,0,0,0
161,17,0.829274,14.097658,13,1,0,1.983913035,28,0,0,0,0,0
162,280,0.829274,232.19672,209,23,0,1.983913035,461,0,0,0,0,0
163,0,0,0,0,0,0,0,0,0,0,0,0,0
164,1,0.480106,0.480106,0,0,0,2.492608685,1,0,0,0,0,0
165,353,0.327345,115.552785,26,39,50,2.370521729,274,0,0,0,0,0
166,237,0.327345,77.580765,17,27,34,2.370521729,184,0,0,0,0,0
167,225,0.632867,142.395075,65,30,47,3.214956508,458,0,0,0,0,0
168,137,0.632867,86.702779,40,18,29,3.214956508,279,0,0,0,0,0
169,60,0.632867,37.97202,17,8,13,3.214956508,122,0,0,0,0,0
170,185,0.632867,117.080395,54,24,39,3.214956508,376,0,0,0,0,0
171,64,0.632867,40.503488,19,8,14,3.214956508,130,0,0,0,0,0
172,0,0,0,0,0,0,0,0,0,0,0,0,0
173,0,0,0,0,0,0,0,0,0,0,0,0,0
