taz,total_residential_units,census_occ_rate,total_occ_units,occ_units_low_inc,occ_units_med_inc,occ_units_high_inc,persons_per_occ_unit,total_persons,emp_retail,emp_srvc,emp_rec,emp_game,emp_other
9,166,0.61,101,75,12,14,1.94,196,121,191,1,0,34
10,0,0,0,0,0,0,0,0,445,311,12,0,2
11,218,0.18,39,23,14,2,2.22,87,115,55,2,0,15
12,1177,0.63,742,438,259,45,2.88,2137,82,100,0,0,121
13,441,0.73,322,190,113,19,3.02,972,375,95,0,0,95
14,292,0.41,120,71,42,7,3.14,377,27,8,0,0,9
15,277,0.11,30,18,10,2,2.23,67,48,52,35,0,28
16,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,75,125,0,17
18,226,0.77,174,71,87,16,2.64,459,103,58,0,0,77
19,67,0.56,38,16,19,3,2.31,88,256,161,23,0,86
20,32,0,0,0,0,0,0,0,2,0,0,0,0
21,403,0.58,234,96,117,21,2.44,571,8,11,0,0,8
22,1,0.58,1,0,0,1,2.46,2,1,0,0,0,0
23,496,0.74,367,150,184,33,2.75,1009,5,22,1,0,10
24,381,0.65,248,102,124,22,2.72,675,143,100,12,0,141
25,210,0.74,155,64,77,14,2.63,408,0,13,1,0,9
26,194,0.74,144,59,66,19,2.69,387,1,7,0,0,5
27,8,0.54,4,2,2,0,2.27,9,4,1,0,0,0
28,0,0,0,0,0,0,0,0,267,0,0,0,57
29,0,0,0,0,0,0,0,0,0,0,0,0,50
30,0,0,0,0,0,0,0,0,0,0,1,0,50
31,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0
33,116,0.77,89,36,45,8,2.64,235,1,4,0,0,4
34,362,0.66,239,98,119,22,2.61,624,9,18,0,0,14
35,121,0.43,52,21,26,5,2.51,131,0,3,1,0,2
36,0,0,0,0,0,0,0,0,0,0,0,0,0
37,385,0.57,219,101,98,20,2.23,488,4,17,0,0,21
38,660,0.61,403,185,181,37,2.34,943,60,70,4,0,82
39,538,0.54,291,134,131,26,2.27,661,28,56,0,0,22
40,124,0.66,82,38,37,7,2.37,194,53,31,20,0,12
41,360,0.66,238,109,97,32,2.37,564,88,40,0,0,17
42,932,0.71,662,305,200,157,2.45,1622,60,100,3,0,121
43,551,0.69,380,171,171,38,2.45,931,58,73,2,0,56
44,275,0.28,77,30,35,12,2.51,193,65,70,4,0,14
45,703,0.29,204,78,93,33,2.5,510,12,14,0,0,12
46,259,0.71,184,70,67,47,2.42,445,6,17,0,0,20
47,605,0.73,442,168,203,71,2.46,1087,28,51,1,0,25
48,494,0.56,277,105,127,45,2.67,740,52,62,0,0,42
49,242,0.76,184,70,85,29,2.52,464,69,31,2,0,115
50,24,0.69,17,6,8,3,2.3,39,150,130,6,0,230
51,120,0.71,85,32,39,14,2.49,212,2,3,1,0,5
52,161,0.71,114,43,52,19,2.42,276,2,9,0,0,5
53,356,0.31,110,42,50,18,2.5,275,2,8,2,0,11
54,601,0.65,391,219,119,53,2.28,891,4,38,1,0,9
55,0,0,0,0,0,0,0,0,0,0,0,0,0
56,313,0.68,213,119,70,24,2.23,475,45,34,0,0,32
57,26,0.68,18,10,6,2,2.33,42,95,12,0,0,13
58,577,0.81,467,262,154,51,2.07,967,315,98,0,0,104
59,558,0.71,396,222,130,44,2.25,891,27,54,4,0,40
60,335,0.75,251,141,82,28,2.33,585,59,44,0,0,15
61,19,0.75,14,8,4,2,2.33,33,225,90,0,0,55
62,254,0.75,191,107,63,21,2.33,445,8,150,0,0,24
63,0,0,0,0,0,0,0,0,0,0,110,0,0
64,1,0.52,1,0,1,0,2.95,3,0,0,0,0,0
65,324,0.52,168,42,53,73,2.95,496,0,0,0,0,0
66,221,0.52,115,29,28,58,2.95,339,0,0,0,0,1
67,216,0.59,127,32,30,65,2.68,340,2,2,0,0,1
68,126,0.59,74,19,37,18,2.68,198,1,0,0,0,0
69,53,0.59,31,8,16,7,2.68,83,0,0,0,0,0
70,167,0.59,99,25,50,24,2.68,265,0,0,0,0,0
71,58,0.59,34,9,17,8,2.68,91,0,0,0,0,0
72,0,0,0,0,0,0,0,0,0,0,0,0,0
73,0,0,0,0,0,0,0,0,0,0,0,0,0
74,0,0,0,0,0,0,0,0,0,0,0,0,0
75,779,0.53,413,103,211,99,2.81,1161,3,6,0,0,5
76,248,0.53,131,33,31,67,2.67,350,0,8,0,0,7
77,44,0.52,23,6,11,6,2.95,68,0,0,0,0,0
78,377,0.5,189,47,60,82,2.6,491,0,0,0,0,0
79,289,0.54,156,39,80,37,2.64,412,6,0,1,0,0
80,0,0,0,0,0,0,0,0,0,0,2,0,0
81,0,0,0,0,0,0,0,0,5,10,2,0,3
82,12,0.65,8,4,2,2,2.4,19,7,0,0,0,21
83,33,0.65,21,12,7,2,2.4,50,0,0,0,0,1
84,0,0,0,0,0,0,0,0,7,0,0,0,0
85,75,0.54,41,10,21,10,2.76,113,5,22,0,0,0
86,68,0.54,37,9,19,9,2.76,102,0,11,0,0,55
87,22,0.54,12,3,6,3,2.76,33,0,0,0,0,1
88,55,0.54,30,8,15,7,2.76,83,0,0,0,0,3
89,13,0.46,6,2,3,1,2.56,15,0,0,0,0,0
90,19,0.46,9,2,3,4,2.56,23,0,0,0,0,0
91,220,0.46,101,25,24,52,2.56,259,0,0,0,0,0
