taz,hotelmotel,resort,casino,campground,house,seasonal
109,0.47,0.5,0,0,0.35,0.35
110,0,0.39,0,0,0.35,0.35
111,0.44,0.44,0,0,0.35,0.35
112,0.46,0,0,0,0.35,0.35
113,0.24,0,0,0,0.35,0.35
114,0,0,0,0,0.35,0.35
115,0.03,0,0,0,0.35,0.35
116,0,0,0,0,0.35,0.35
117,0,0,0,0,0,0
118,0.13,0.62,0,0,0.35,0.35
119,0,0.63,0,0,0.35,0.35
120,0,0,0,0,0.35,0.35
121,0,0,0,0.7,0.35,0.35
122,0,0,0,0,0,0
123,0,0,0,0,0.35,0.35
124,0.37,0,0,0,0.35,0.35
125,0.55,0,0,0,0.35,0.35
126,0,0,0,0,0.35,0.35
127,0,0,0,0,0,0
128,0,0,0,0,0,0
129,0,0,0,0,0,0
130,0,0,0,0,0,0
131,0,0,0,0,0,0
132,0,0,0,0,0,0
133,0,0,0,0,0.35,0.35
134,0,0,0,0,0.35,0.35
135,0,0,0,0,0.35,0.35
136,0,0,0,0,0,0
137,0.08,0.08,0,0,0.35,0.35
138,0.09,0,0,0,0.35,0.35
139,0.09,0,0,0,0.35,0.35
140,0,0,0,0,0.35,0.35
141,0.11,0,0,0,0.35,0.35
142,0.11,0,0,0,0.35,0.35
143,0.11,0,0,0,0.35,0.35
144,0,0,0,0,0.35,0.35
145,0,0,0,0,0.35,0.35
146,0.53,0,0,0,0.35,0.35
147,0,0,0,0,0.35,0.35
148,0.59,0,0,0,0.35,0.35
149,0.16,0,0,0,0.35,0.35
150,0.09,0,0,0,0.35,0.35
151,0,0,0,0,0.35,0.35
152,0,0,0,0,0.35,0.35
153,0,0,0,0,0.35,0.35
154,0.68,0,0,0,0.35,0.35
155,0,0,0,0,0,0
156,0,0,0,0,0.35,0.35
157,0,0,0,0,0.35,0.35
158,0,0,0,0,0.35,0.35
159,0.13,0,0,0,0.35,0.35
160,0.64,0,0,0.43,0.35,0.35
161,0.68,0,0,0,0.35,0.35
162,0,0,0,0,0.35,0.35
163,0,0,0,0,0,0
164,0,0,0,0,0.39,0.39
165,0,0,0,0,0.39,0.39
166,0,0,0,0,0.39,0.39
167,0,0,0,0,0.35,0.35
168,0,0,0,0,0.39,0.39
169,0,0,0,0,0.39,0.39
170,0,0,0,0,0.39,0.39
171,0,0,0,0,0.39,0.39
172,0,0,0,0,0,0
173,0,0,0,0,0,0
174,0,0,0,0,0.39,0.39
175,0,0,0,0,0.39,0.39
176,0,0,0,0,0.39,0.39
177,0,0,0,0,0.39,0.39
178,0,0,0,0,0.39,0.39
179,0,0,0,0,0.39,0.39
180,0,0,0,0.43,0.35,0.35
181,0,0,0,0,0,0
182,0,0,0,0,0.39,0.39
183,0,0,0,0,0.39,0.39
184,0,0,0,0,0.39,0.39
185,0,0,0,0,0.39,0.39
186,0,0,0,0,0.39,0.39
187,0,0,0,0.43,0.39,0.39
188,0,0,0,0,0.39,0.39
189,0,0,0,0,0.39,0.39
190,0,0,0,0,0.39,0.39
191,0,0,0,0,0.39,0.39
192,0,0,0,0,0.39,0.39
193,0,0,0,0,0.39,0.39
194,0,0,0,0,0.39,0.39
195,0,0,0,0,0.39,0.39
196,0,0,0,0,0.39,0.39
197,0,0,0,0,0.39,0.39
198,0,0,0,0,0,0
199,0,0,0,0,0.39,0.39
200,0,0,0,0,0.39,0.39
201,0,0,0,0,0,0
202,0,0,0,0,0.39,0.39
203,0,0.61,0,0,0.39,0.39
204,0,0,0,0.79,0,0
205,0,0,0,0,0,0
206,0,0,0,0.72,0,0
207,0,0,0,0,0.39,0.39
208,0,0,0,0,0.39,0.39
209,0,0,0,0,0.39,0.39
210,0,0,0,0,0.39,0.39
211,0,0,0,0,0.39,0.39
212,0,0,0,0,0,0
213,0,0,0,0.72,0,0
214,0,0,0,0,0.39,0.39
215,0,0,0,0,0.39,0.39
216,0,0,0,0.56,0,0
217,0,0,0,0.43,0.39,0.39
218,0,0,0,0.43,0.39,0.39
219,0,0,0,0,0,0
220,0,0,0,0,0.39,0.39
221,0,0,0,0,0.39,0.39
222,0,0,0,0,0.39,0.39
223,0,0,0,0,0,0
224,0,0,0,0,0.39,0.39
225,0,0.61,0,0.66,0.39,0.39
226,0,0,0,0,0,0
227,0,0,0,0,0,0
228,0,0,0,0.55,0.41,0.41
229,0,0,0,0,0.41,0.41
230,0,0,0,0,0.41,0.41
231,0.61,0,0,0,0.41,0.41
232,0,0,0,0,0.39,0.39
233,0.61,0,0,0,0.41,0.41
234,0,0,0,0,0.41,0.41
235,0,0,0,0,0.41,0.41
236,0,0,0,0,0.41,0.41
237,0,0,0,0,0.41,0.41
238,0,0,0,0,0.41,0.41
239,0.61,0,0,0,0.41,0.41
240,0,0,0,0,0.41,0.41
241,0.61,0,0,0,0.41,0.41
242,0,0,0,0,0.41,0.41
243,0,0,0,0.52,0.41,0.41
244,0,0,0,0,0.41,0.41
245,0,0,0,0,0,0
246,0,0,0,0,0,0
247,0,0,0,0,0.41,0.41
248,0,0,0,0,0.41,0.41
249,0.61,0,0,0,0.41,0.41
250,0,0,0,0.51,0,0
251,0,0,0,0,0.41,0.41
252,0,0.61,0,0,0.41,0.41
253,0,0,0,0,0.41,0.41
254,0,0,0,0,0.33,0.33
255,0.67,0,0,0,0.33,0.33
256,0,0,0,0,0.33,0.33
257,0.67,0,0,0,0.33,0.33
258,0,0,0,0,0.33,0.33
259,0.67,0,0,0.59,0.33,0.33
260,0,0,0,0,0.39,0.39
261,0,0,0,0,0.39,0.39
262,0,0,0,0,0.39,0.39
263,0,0,0,0,0,0
264,0,0,0,0,0.33,0.33
265,0,0,0,0.59,0,0
266,0,0,0,0,0.33,0.33
267,0,0,0,0,0.33,0.33
268,0,0,0,0,0.33,0.33
269,0,0,0,0,0.38,0.38
270,0,0,0,0,0.33,0.33
271,0,0,0,0,0.33,0.33
272,0,0,0,0,0,0
273,0.67,0,0,0,0.39,0.39
274,0,0,0,0,0.38,0.38
275,0,0,0,0,0.39,0.39
276,0.67,0,0,0,0.39,0.39
277,0,0,0,0,0.38,0.38
278,0,0,0,0,0.38,0.38
279,0,0,0,0,0.39,0.39
280,0,0,0,0,0.4,0.4
281,0.48,0.48,0,0,0.41,0.41
282,0.48,0,0,0,0.41,0.41
283,0,0,0,0,0.27,0.27
284,0,0,0,0,0.27,0.27
285,0,0,0,0,0,0
286,0,0,0,0,0.27,0.27
287,0,0,0,0,0,0
288,0,0,0,0,0.39,0.39
289,0.48,0.48,0,0,0.32,0.32
