taz,hotelmotel,resort,casino,campground,house,seasonal
9,0.41,0.41,0.41,0,0.461538462,0.461538462
10,0.81,0.81,0.81,0,0,0
11,0.81,0.81,0.81,0,0.402234637,0.402234637
12,0,0,0,0,0.4,0.4
13,0.554,0.554,0.554,0,0.403361345,0.403361345
14,0.41,0.41,0.41,0,0.581395349,0.581395349
15,0.41,0.41,0.41,0,0.631578947,0.631578947
16,0,0,0,0,0,0
17,0,0,0,0,0,0
18,0.554,0.554,0.554,0,0.788461538,0.788461538
19,0.41,0.41,0.41,0,0.413793103,0.413793103
20,0,0,0,0.71,0.40625,0.40625
21,0,0,0,0,0.402366864,0.402366864
22,0,0,0,0,0,0
23,0,0,0,0,0.403100775,0.403100775
24,0,0,0,0,0.398496241,0.398496241
25,0,0,0,0,0.672727273,0.672727273
26,0,0,0,0,0.4,0.4
27,0,0,0,0,0.5,0.5
28,0,0,0,0,0,0
29,0,0,0,0,0,0
30,0,0,0,0,0,0
31,0,0,0,0,0,0
32,0,0,0,0,0,0
33,0,0,0,0,0.407407407,0.407407407
34,0,0,0,0,0.398373984,0.398373984
35,0,0,0,0,0.652173913,0.652173913
36,0,0,0,0,0,0
37,0.41,0.41,0.41,0,0.554216867,0.554216867
38,0.41,0.41,0.41,0,0.40077821,0.40077821
39,0.41,0.41,0.41,0,0.400809717,0.400809717
40,0,0,0,0,0.404761905,0.404761905
41,0.41,0.41,0.41,0,0.598360656,0.598360656
42,0.41,0.41,0.41,0,0.4,0.4
43,0.41,0.41,0.41,0,0.397660819,0.397660819
44,0,0,0,0,0.762626263,0.762626263
45,0,0,0,0,0.541082164,0.541082164
46,0.41,0.41,0.41,0,0.4,0.4
47,0,0,0,0,0.398773006,0.398773006
48,0.554,0.554,0.554,0,0.571428571,0.571428571
49,0.353,0.353,0.353,0,0.396551724,0.396551724
50,0.353,0.353,0.353,0,0.428571429,0.428571429
51,0,0,0,0,0.4,0.4
52,0,0,0,0,0.404255319,0.404255319
53,0,0,0,0,0.398373984,0.398373984
54,0.353,0.353,0.353,0,0.461904762,0.461904762
55,0,0,0,0,0,0
56,0,0,0,0,0.4,0.4
57,0,0,0,0,0.375,0.375
58,0,0,0,0,0.4,0.4
59,0.353,0.353,0.353,0,0.401234568,0.401234568
60,0.353,0.353,0.353,0,0.404761905,0.404761905
61,0.353,0.353,0.353,0,0.4,0.4
62,0,0,0,0,0.40625,0.40625
63,0,0,0,0,0,0
64,0,0,0,0,0,0
65,0,0,0,0,0.397435897,0.397435897
66,0,0,0,0,0.396226415,0.396226415
67,0,0,0,0,0.404494382,0.404494382
68,0,0,0,0,0.403846154,0.403846154
69,0,0,0,0,0.409090909,0.409090909
70,0,0,0,0,0.397058824,0.397058824
71,0,0,0,0,0.416666667,0.416666667
72,0,0,0,0,0,0
73,0,0,0,0,0,0
74,0,0,0,0,0,0
75,0.353,0.353,0.353,0,0.398907104,0.398907104
76,0,0,0,0,0.401709402,0.401709402
77,0,0,0,0,0.380952381,0.380952381
78,0,0,0,0,0.404255319,0.404255319
79,0,0,0,0,0.398496241,0.398496241
80,0,0,0,0.71,0,0
81,0,0,0,0,0,0
82,0,0,0,0,0.5,0.5
83,0,0,0,0,0.416666667,0.416666667
84,0,0,0,0,0,0
85,0,0,0,0,0.411764706,0.411764706
86,0,0,0,0,0.387096774,0.387096774
87,0,0,0,0,0.4,0.4
88,0,0,0,0,0.48,0.48
89,0,0,0,0,0.428571429,0.428571429
90,0,0,0,0,0.4,0.4
91,0,0,0,0,0.403361345,0.403361345
92,0,0,0,0.72,0.398230088,0.398230088
93,0,0,0,0.72,0.5,0.5
94,0,0,0,0,0.444444444,0.444444444
95,0,0,0,0,0.401215805,0.401215805
96,0,0,0,0,0.4,0.4
97,0,0,0,0,0.397435897,0.397435897
98,0,0,0,0,0,0
99,0,0,0,0,0.5,0.5
100,0,0,0,0,0.398190045,0.398190045
